Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE
37,Rue de la Bondonnière,Joué-lès-Tours,37300,,,2.04 €,1.93 €
37,27 Rue des Écoles,Vouvray,37210,,,2.10 €,2.00 €
37,77 RUE DE CHENONCEAUX,CIVRAY DE TOURAINE,37150,1.92 €,,2.03 €,1.99 €
37,50 Rue Carnot,L'ÎLE-BOUCHARD,37220,,,,2.12 €
37,89 Boulevard Richard Wagner,TOURS,37000,1.86 €,,1.96 €,1.94 €
37,45  QUAI DE MARMOUTIER,TOURS,37100,1.91 €,,2.02 €,1.98 €
37,Lieu-dit La Loge,Azay-le-Rideau,37190,,,2.12 €,2.05 €
37,RUE DU VAL D'INDRE,MONTS,37260,,,,
37,RN 143,Chambourg-sur-Indre,37310,,,,
37,Aire de Athée-sur-Cher Autoroute A 85,Athée-sur-Cher,37270,2.10 €,,2.23 €,2.15 €
37,AUTOROUTE A10 - AIRE TOURS VAL DE LOIRE,MONNAIE,37380,1.89 €,0.90 €,2.00 €,1.98 €
37,28 route de Tours,Chaveignes,37120,,,2.00 €,1.95 €
37,6 Rue du Franc Palais,Joué-lès-Tours,37300,,,1.95 €,1.92 €
37,Avenue Victor Laloux,MONTLOUIS-SUR-LOIRE,37270,1.84 €,0.68 €,1.95 €,1.92 €
37,ZAE Le Grand Berchenay,Esvres,37320,1.93 €,,2.03 €,1.94 €
37,1 rue rené Cassin,NOTRE-DAME-D'Oé,37390,,0.88 €,1.98 €,1.94 €
37,77 GRAND SUD AVENUE,Chambray-lès-Tours,37170,1.81 €,,1.93 €,1.88 €
37,AVENUE JACQUES DUCLOS,Saint-Pierre-des-Corps,37700,1.83 €,0.87 €,1.92 €,1.88 €
37,ROUTE DE VAUZELLES,LOCHES,37600,1.86 €,0.80 €,1.95 €,1.95 €
37,ROUTE DE SAUMUR,CHINON,37500,,,,2.15 €
37,Chemin des Minimes,La Riche,37520,1.98 €,,2.08 €,1.99 €
37,4 RUE DES ECOLES,AVOINE,37420,1.89 €,,2.05 €,2.00 €
37,181 Boulevard Charles De Gaulle,Saint-Cyr-sur-Loire,37540,1.96 €,0.88 €,2.07 €,2.04 €
37,ROND POINT GUSTAVE EFFEIL,TOURS,37100,1.82 €,,1.91 €,1.91 €
37,Avenue Jacques DUCLOS,SAINT-PIERRE-DES-CORPS,37700,1.81 €,,1.92 €,1.88 €
37,ZAC DE LA GRANDE PIECE,CHANCEAUX SUR CHOISILLE,37390,1.89 €,,2.00 €,1.94 €
37,5 Avenue du 11 Novembre 1918,BLéRé,37150,1.83 €,,1.93 €,1.95 €
37,AUTOROUTE A10 - AIRE DE SAINTE MAURE DE TOURAINE,Saint-Épain,37800,1.89 €,0.88 €,2.00 €,1.96 €
37,La Croix Poêlon,Monnaie,37380,,0.85 €,2.00 €,1.96 €
37,62 CHEMIN DE LA BUSSARDIERE,VERETZ,37270,1.82 €,0.85 €,1.92 €,1.93 €
37,9  rue Jean Mermoz,Ballan-Miré,37510,1.88 €,,1.99 €,1.94 €
37,ROUTE DE TOURS,SAINT BRANCHS,37320,1.90 €,,1.99 €,1.94 €
37,aire des Jardins de Villandry A85,Druye,37190,2.17 €,,2.27 €,2.19 €
37,21 Avenue de Tours,Amboise,37400,1.99 €,,,2.00 €
37,150 Boulevard de Chinon,JOUE LES TOURS,37300,1.87 €,,1.99 €,1.93 €
37,Les Chalussons,Yzeures-sur-Creuse,37290,1.99 €,0.85 €,2.07 €,1.99 €
37,25 Rue du Professeur Robert Debré,Vernou-sur-Brenne,37210,,,1.94 €,1.94 €
37,RD 910 Les Gués de Veigné sens Montbazon > Tours,VEIGNE,37250,1.86 €,,1.96 €,1.92 €
37,2 Rue de Tivoli,VEIGNé,37250,1.82 €,,1.95 €,1.92 €
37,RUE DES BORDIERS,TOURS,37100,1.81 €,,1.97 €,1.90 €
37,2 Rue René Cassin,Chinon,37500,1.86 €,,1.91 €,1.94 €
37,Autoroute A10 Aire de Fontaine Colette,Saint-Épain,37800,2.23 €,,2.36 €,2.25 €
37,4 AVENUE JAURES,FONDETTES,37230,1.94 €,,2.00 €,1.94 €
37,105 RUE ST JACQUES,LOCHES,37600,,,,2.01 €
37,1786 Boulevard saint denis hors,Amboise,37400,1.86 €,,,1.95 €
37,Route de Tours,Chinon,37500,1.86 €,,1.91 €,1.95 €
37,32 ROUTE DE ST AVERTIN,TOURS,37200,1.81 €,0.88 €,1.92 €,1.88 €
37,Rue Jean Monnet,Descartes,37160,1.83 €,0.85 €,1.93 €,1.92 €
37,Place des Petits Pavés,Ambillou,37340,,,2.03 €,1.99 €
37,RUE DE LA VASSELIERE,Monts,37260,1.86 €,,1.95 €,1.92 €
37,Boulevard des Bretonnières,JOUé-LèS-TOURS,37300,,,1.95 €,1.92 €
37,76  QUAI DE LA LOIRE,ST PIERRE DES CORPS,37700,1.92 €,0.87 €,2.03 €,1.98 €
37,75 ROUTE DE CHINON,Noyant-de-Touraine,37800,2.04 €,,2.15 €,2.04 €
37,rue gambetta,CHâTEAU-RENAULT,37110,,,1.97 €,1.95 €
37,119-123 BD JEAN JAURES,Joué-lès-Tours,37300,1.82 €,,1.97 €,1.88 €
37,Rue du Petit Versailles,Château-Renault,37110,1.90 €,0.85 €,1.94 €,1.95 €
37,ZAC Les Marchaux - Les Rotes,SAINTE-MAURE DE TOURAINE,37800,1.79 €,0.87 €,1.92 €,1.86 €
37,Boulevard du Sevrage,Pocé-sur-Cisse,37530,1.84 €,0.85 €,1.93 €,1.92 €
37,18 Rue Giraudeau,Tours,37000,,,,2.19 €
37,AUTOROUTE A10 AIRE DE LA BRUNELLERIE,Monnaie,37380,2.15 €,,2.28 €,2.15 €
37,BOURG NEUF,Azay-sur-Cher,37270,,,,2.07 €
37,C C DE L HIPPODROME,Neuillé-Pont-Pierre,37360,,,2.06 €,1.94 €
37,63 BLD DU TONNELLE,TOURS,37000,1.92 €,0.87 €,2.03 €,1.99 €
37,RUE DES GRANDS CLOS,ARTANNES SUR INDRE,37260,,,2.08 €,1.99 €
37,RUE DES PEUPLIERS - ROND POINT DU FOUR A CHAUX,Sorigny,37250,1.94 €,0.87 €,2.03 €,1.96 €
37,RUE ABEL GANCE - ZAC DE L'AEROGA,TOURS,37100,1.80 €,0.87 €,1.92 €,1.88 €
37,LA ROCADE PIECE DE BUXEUIL,DESCARTES,37160,,,,
37,27 avenue du general de gaulle,bourgueil,37140,1.86 €,0.71 €,2.02 €,1.96 €
37,340 avenue du grand sud RD910,LES RENARDIERES,37170,1.80 €,0.87 €,1.92 €,1.88 €
37,Avenue des Martyrs,LIGUEIL,37240,1.91 €,,2.00 €,1.99 €
37,LA LOGE CITE BELLEVUE,AZAY-LE-RIDEAU,37190,,,1.95 €,1.96 €
37,RN 10,VILLEDOMER,37110,,,1.94 €,
37,35 rue de jemmapes,tours,37100,,,2.14 €,2.00 €
37,ZONE INDUSTRIELLE DU CHAPELET,Luynes,37230,1.95 €,,2.03 €,1.96 €
37,65 BOULEVARD HEURTELOUP,TOURS,37000,1.91 €,,2.02 €,1.99 €
37,Rue de Joué,CHAMBRAY-LèS-TOURS,37172,1.83 €,,1.93 €,1.92 €
37,13 à 17 rue du 501e régiment,Tours,37000,,,2.01 €,1.99 €
37,2 rue de la LIODIERE,Joué-lès-Tours,37300,1.84 €,,1.94 €,1.92 €
37,247 Boulevard Charles de Gaulle,SAINT-CYR-SUR-LOIRE,37540,1.85 €,,1.95 €,1.94 €
37,ROUTE DE CHATEAU LAVALLIE,LA MEMBROLLE-SUR-CHOISILLE,37390,2.20 €,,,2.16 €
37,44 B Rue Grégoire de Tours,Amboise,37400,,,2.23 €,2.21 €
37,Rue Carnot,LANGEAIS,37130,,,1.93 €,1.90 €
37,42 Rue des Hautes Marches,LA RICHE,37520,,,2.00 €,1.95 €
37,Rue Frédéric Chopin,TOURS,37100,1.88 €,,1.97 €,1.95 €
37,25 Rue de Tours,Bléré,37150,1.83 €,,1.93 €,1.95 €
37,355 ROUTE DE CORMERY,SAINT-AVERTIN,37550,1.93 €,,2.02 €,1.94 €
