Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE
54,6 ter avenue de la division leclerc,Badonviller,54540,2.00 €,0.79 €,2.14 €,1.98 €
54,Avenue de la Meurthe,Maxéville,54320,,,1.98 €,2.10 €
54,3 route de BRIEY,Lantéfontaine,54150,,,,2.15 €
54,60 Boulevard Georges Pompidou,LUNéVILLE,54300,1.97 €,,2.08 €,2.03 €
54,ROUTE D'ARRANCY,LONGUYON,54260,1.87 €,0.88 €,,1.95 €
54,CENTRE COMMERCIAL MONTRICHARD,PONT-à-MOUSSON,54700,1.85 €,0.85 €,1.96 €,1.91 €
54,11 GRANDE RUE,AVRICOURT,54450,,,,2.10 €
54,144 rue du fbg Trois Maisons,NANCY,54000,,,,2.02 €
54,2 Rue Paul Keller,TOUL,54200,2.00 €,,2.13 €,2.00 €
54,Avenue Albert de Briey,BRIEY,54150,,,,2.13 €
54,10 AVENUE DE LA RESISTANCE,LAXOU,54520,1.84 €,,2.00 €,1.88 €
54,47 Boulevard Jean Jaurès,Nancy,54000,1.87 €,,2.13 €,1.94 €
54,40 Avenue de la Libération,Nancy,54000,1.84 €,,2.00 €,1.91 €
54,69 Rue Gabriel Péri,Dombasle-sur-Meurthe,54110,1.95 €,,2.03 €,2.01 €
54,5 BOULEVARD LOBAU,NANCY,54000,1.99 €,0.88 €,2.10 €,2.04 €
54,97 Rue Carnot,COLOMBEY-LES-BELLES,54170,,,,2.10 €
54,96 Rue de Franchepré,Joeuf,54240,1.96 €,,2.11 €,1.99 €
54,49 Rue du Colonel Driant,Malzéville,54220,1.87 €,,2.01 €,1.94 €
54,46 Rue du Capitaine Caillon,Neuves-Maisons,54230,1.87 €,,2.05 €,1.94 €
54,83 rue Franchepré,JOEUF,54240,,,,
54,55 Avenue du 69ème Régiment d'Infanterie,Essey-lès-Nancy,54270,1.86 €,,2.02 €,1.94 €
54,2 rue de Virecourt,BAYON,54290,,,2.10 €,2.01 €
54,16 AVENUE DE GERBEVILLER,LUNEVILLE,54300,,,,
54,AUTOROUTE A 31,Dommartin-lès-Toul,54200,2.11 €,,2.23 €,2.18 €
54,AUTOROUTE A 330,Richardménil,54630,1.99 €,,2.08 €,2.05 €
54,22 Avenue Jeanne d'Arc,Vandoeuvre-lès-Nancy,54500,1.87 €,0.88 €,2.13 €,1.94 €
54,CENTRE COMMERCIAL LA CASCADE,Laxou,54520,,,,
54,R.N.57 LE DERNIER SOU,Vandœuvre-lès-Nancy,54500,1.87 €,0.86 €,2.00 €,1.94 €
54,41 RUE DU GAL LECLERC,CUSTINES,54670,1.97 €,0.90 €,2.08 €,2.02 €
54,40 Avenue Lafayette,JARNY,54800,,,2.15 €,2.06 €
54,AVENUE PATTON,JARNY,54800,,,,
54,104 Avenue Carnot,Saint-Max,54130,2.02 €,,2.13 €,2.08 €
54,8 route de strasbourg,OGEVILLER,54450,,,,2.03 €
54,ZA de la Louviére,THIAUCOURT,54470,,,2.07 €,2.00 €
54,avenue de saulxures,ESSEY-LèS-NANCY,54270,1.89 €,,2.00 €,1.95 €
54,RUE PAUL KELLER,TOUL,54200,1.98 €,0.88 €,2.09 €,2.04 €
54,2 Rue Bernard Palissy,VANDOEUVRE-LèS-NANCY,54500,1.87 €,,2.03 €,1.94 €
54,127 Boulevard Lobau,Nancy,54000,1.83 €,,1.92 €,1.92 €
54,1.RUE DU PARTERRE,CIREY-SUR-VEZOUZE,54480,,,2.11 €,2.00 €
54,AUTOROUTE A33 - AIRE D'ANTHELUPT,VITRIMONT,54300,1.89 €,,2.00 €,1.95 €
54,ZA TURLOMONT,POMPEY,54340,1.96 €,1.00 €,2.00 €,1.97 €
54, Route de Nancy,NOMENY,54610,1.99 €,,2.12 €,1.99 €
54,74. avenue du Général de Gaulle,LUNEVILLE,54300,,,2.06 €,1.99 €
54,35 route nationale,VILLERS LA MONTAGNE,54920,,,,2.14 €
54,25 Avenue Pierre Semard,Blainville-sur-l'Eau,54360,,,2.01 €,2.00 €
54,Rue Nicolas Pierson,PONT-à-MOUSSON,54700,1.85 €,,1.96 €,1.91 €
54,1  rue du Beuhot,Blâmont,54450,,,,2.09 €
54,Route de Lachapelle,DENEUVRE,54120,1.99 €,,2.07 €,2.00 €
54,18-32  rue de Metz,JARNY,54800,1.97 €,,2.08 €,2.03 €
54,RD 570,HEILLECOURT,54180,1.94 €,0.91 €,2.06 €,1.99 €
54,1 Avenue du Général DE GAULLE,DIEULOUARD,54380,,,1.96 €,1.95 €
54,AUTOROUTE A31AIRE DE LOISY,LOISY,54700,2.04 €,,2.15 €,2.06 €
54,RUE JEAN MOULIN,Homécourt,54310,1.94 €,,1.96 €,1.98 €
54,33 Rue de Lorraine,DAMELEVIèRES,54360,,,,2.05 €
54,Rue de la Croix Saint-Nicolas,Gondreville,54840,,,2.00 €,1.97 €
54,153 Avenue du 15ème Génie,Écrouves,54200,1.97 €,0.85 €,2.04 €,2.00 €
54,AUTOROUTE A31 - AIRE L'OBRION,LOISY,54700,1.89 €,0.86 €,2.00 €,1.96 €
54,RN 333,VITRIMONT,54300,1.99 €,,2.10 €,2.05 €
54,6 rue tuilier,Moncel-lès-Lunéville,54300,1.93 €,0.80 €,2.03 €,1.99 €
54,28  rue Charles de Gaulle,VANDIèRES,54121,2.06 €,,2.17 €,2.06 €
54,91 Rue de Metz,FROUARD,54390,,,2.15 €,2.03 €
54,Route de Ceintrey,Ceintrey,54134,,,,2.09 €
54,cc frunshopping bat 5 route de ville en vermois,Saint-Nicolas-de-Port,54210,1.96 €,,2.06 €,2.02 €
54,32  Route de Frouard,LIVERDUN,54460,1.88 €,,1.98 €,1.98 €
54,Rue Emile Gallé,DIEULOUARD,54380,1.88 €,1.00 €,,1.95 €
54,1 Avenue de la Paix,LONGWY,54400,,,2.42 €,2.28 €
54,Rue Jean Jaurès,Pagny-sur-Moselle,54530,,,1.96 €,1.96 €
54,5 AVENUE DE LA RESISTANCE,LAXOU,54520,1.84 €,0.90 €,2.00 €,1.88 €
54,1 rue Victor Prouvé,DOMBASLE-SUR-MEURTHE,54110,1.93 €,,2.03 €,2.00 €
54,BD DES AIGUILLETTES,Villers-lès-Nancy,54600,1.97 €,,2.08 €,2.04 €
54,110 Avenue Paul Muller,VILLERS-LèS-NANCY,54600,1.84 €,0.88 €,1.93 €,1.91 €
54,N.I. du Val de l'Orne CONFLANS EN JARNISY,JARNY,54800,1.96 €,,2.05 €,1.96 €
54,RD 674,SEICHAMPS,54280,1.86 €,0.88 €,2.00 €,1.93 €
54,2 AVENUE DE BOURGOGNE,Vandœuvre-lès-Nancy,54500,1.87 €,,2.00 €,1.94 €
54,Rue Pasteur,NEUVES-MAISONS,54230,1.86 €,,1.99 €,1.96 €
54,rue de la Sapinière,LAXOU,54520,1.84 €,,,1.93 €
54,48 Rue de Verdun,JARNY,54800,2.00 €,,2.07 €,2.00 €
54,2 Rue du Bois,Frouard,54390,1.87 €,,2.02 €,1.95 €
54,17 Rue du Curtin,Colombey-les-Belles,54170,2.00 €,,2.16 €,2.00 €
54,1 Rue Denis Papin,Chanteheux,54300,1.92 €,,2.02 €,1.98 €
54,6  Avenue Jacques Leclerc,VÉZELISE,54330,,,1.99 €,1.96 €
54,19 RUE NATIONALE,TELLANCOURT,54260,2.02 €,,2.13 €,2.05 €
54,37 Rue de Verdun,Landres,54970,1.91 €,0.85 €,2.07 €,1.98 €
54,Route de Frouard,CHAMPIGNEULLES,54250,1.93 €,,2.03 €,1.99 €
54,Rue de la République,Jarville-la-Malgrange,54140,1.96 €,,2.07 €,1.99 €
54,18 Rue du Général Leclerc,Gerbéviller,54830,,,2.11 €,2.04 €
54,6 Avenue de Boufflers,Nancy,54000,,,2.04 €,2.01 €
54,POLE COMMERCIAL JEANNE D'ARC,DOMMARTIN-LèS-TOUL,54200,1.97 €,0.80 €,2.04 €,2.00 €
54,Le Pré Latour,PONT-à-MOUSSON,54700,1.96 €,,2.06 €,2.02 €
54,Chemin du Bon Curé,LUDRES,54710,,0.88 €,2.04 €,1.97 €
54,31 boulevard de Baudricourt,VILLERS-LèS-NANCY,54600,,,2.05 €,2.01 €
54,12 Avenue de la Résistance,Laxou,54520,1.90 €,1.00 €,2.00 €,1.93 €
54,Avenue Marguerite Puhl Demange,BRIEY,54150,,,2.02 €,2.03 €
54,Rue Boutet de Monvel,LUNEVILLE,54300,1.91 €,0.78 €,2.01 €,1.97 €
54,678 Avenue du Général Bigeard,TOUL,54200,1.97 €,,2.04 €,2.00 €
54,AVENUE EUGENE POTTIER,TOMBLAINE,54510,1.87 €,,1.96 €,1.94 €
54,16 Rue Sainte-Catherine,Baccarat,54120,1.97 €,,2.08 €,2.03 €
