Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
76,centre commercial grand cap,Le Havre,76620,1.71 €,,1.81 €,1.92 €,4952315,10955
76,44 Rue de la République,Déville-lès-Rouen,76250,,,1.84 €,2.01 €,4947100,104300
76,Avenue Aristide Briand,BARENTIN,76360,,,,2.05 €,4953700,96100
76,2 ROUTE DE ROUEN,GOURNAY EN BRAY,76220,1.78 €,,1.89 €,2.05 €,4948500,170100
76,Centre Commercial la LEZARDE,MONTIVILLIERS,76290,1.71 €,,1.81 €,1.92 €,4952500,19000
76,AUTOROUTE A28 - AIRE DE BOSC MESNIL,Bosc-Mesnil,76680,1.77 €,0.88 €,1.88 €,2.02 €,4967558.9360189,133476.40905368
76,ROUTE DE TOURVILLE,Cléon,76410,1.80 €,,1.91 €,2.06 €,4930700,102900
76,72 RUE DES CANADIENS,ENVERMEU,76630,,,1.87 €,2.00 €,4989715.13,125982.35
76, Avenue Georges Clemenceau,YVETOT,76190,,,1.85 €,1.95 €,4962113,76692
76,97 Avenue René Coty,Sainte-Marie-des-Champs,76190,1.78 €,0.83 €,1.89 €,2.02 €,4962400,77900
76,AVENUE DU COMMANDANT BICHERAY,Rouen,76000,1.70 €,,1.80 €,1.94 €,4945000,104900
76,ROUTE DE LYONS DIRECTION ROUEN,ROUEN,76000,1.81 €,0.86 €,1.92 €,2.03 €,4943656.465591,113669.66827387
76,38  AVENUE DES CANADIENS,Le Grand-Quevilly,76120,1.81 €,0.84 €,1.92 €,2.05 €,4940138,106468
76,23 BOULEVARD DE L' EUROPE,ROUEN,76100,1.82 €,0.82 €,1.93 €,2.05 €,4942734,109262
76,42 Rue Sadi Carnot,Darnétal,76160,1.74 €,,1.82 €,1.97 €,4944100,114800
76,AUTOROUTE A 15,Saint-Jean-du-Cardonnay,76150,1.85 €,,1.94 €,2.08 €,4949500,99800
76,24 Avenue du Mont aux Malades,Mont-Saint-Aignan,76130,1.74 €,,1.79 €,1.96 €,4946100,108200
76,AVENUE DES CANADIENS,DIEPPE,76200,1.68 €,0.82 €,1.81 €,1.94 €,4990522,107678
76,78 RUE GAMBETTA,Dieppe,76200,1.70 €,,1.81 €,1.94 €,4991600,107500
76,24 BD. FAIDHERBE - RD 925,EU,76260,,,,,5005100,142300
76,37 ROUTE DE PARIS,LE MESNIL ESNARD,76240,1.69 €,,1.79 €,1.95 €,4940725,114798
76,209 Rue Gustave Couturier,FéCAMP,76400,,,,,4975119,40223
76,RD 910,TANCARVILLE,76430,1.70 €,0.81 €,1.81 €,1.94 €,4948442.133,44913.393
76,Rue Raymond Brétéché,LE TRAIT,76580,1.82 €,,1.90 €,1.95 €,4948800,80400
76,RN 138 LES ESSARTS,Grand-Couronne,76530,1.73 €,0.85 €,1.82 €,1.96 €,4935400,103000
76,8 Rue Béranger,Le Havre,76600,1.75 €,,1.86 €,1.99 €,4949400,9700
76,BOULEVARD LENINGRAD,LE HAVRE,76600,1.70 €,,1.81 €,1.94 €,4949878,15925
