Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE
51,RN44,Pogny,51240,1.96 €,,2.00 €,1.96 €
51,252 BIS  AVENUE JEAN JAURES,REIMS,51100,1.85 €,0.86 €,1.98 €,1.90 €
51,avenue du président Roosevelt,CHâLONS-EN-CHAMPAGNE,51000,1.88 €,0.78 €,1.98 €,1.94 €
51,AUT A 4  AIRE DE VRIGNY,VRIGNY,51390,2.14 €,,2.26 €,2.18 €
51,Route de louvois,CORMONTREUIL,51350,1.95 €,0.78 €,2.09 €,2.00 €
51,2 route de Chalons,Sillery,51500,1.96 €,0.88 €,2.03 €,1.97 €
51,ROUTE D'EPERNAY,Châlons-en-Champagne,51000,1.86 €,,1.99 €,1.91 €
51,PLACE DE VERDUN,Châlons-en-Champagne,51000,1.86 €,,2.05 €,1.93 €
51,11 Boulevard Saint-Marceaux,Reims,51100,1.88 €,,2.03 €,1.93 €
51,140 RUE DE LOUVOIS,REIMS,51100,1.87 €,,1.97 €,1.91 €
51,34 Avenue Jean Jaurès,Épernay,51200,1.93 €,,2.01 €,1.95 €
51,13 BLD DE LA MOTTE,EPERNAY,51200,1.89 €,0.88 €,1.96 €,1.93 €
51,FAUBOURG DE CHALONS,Vitry-le-François,51300,1.82 €,0.89 €,1.92 €,1.90 €
51,31  AVENUE DU 29 AOUT 1944,TINQUEUX,51430,1.82 €,0.86 €,1.97 €,1.87 €
51,Aire de Gueux A4,Gueux,51390,2.13 €,,2.25 €,2.18 €
51,ROUTE NATIONALE 44 - AIRE DE SAINT MARTIN SUR LE PRÉ,Saint-Martin-sur-le-Pré,51520,1.86 €,0.86 €,1.98 €,1.91 €
51,Route de Troyes,Fagnières,51510,1.90 €,0.88 €,2.09 €,1.91 €
51,autoroute a4 aire de valmy orbeval,Valmy,51800,,,,
51,ZAC DE SAINT LEONARD RN44,REIMS,51100,1.90 €,,2.02 €,2.03 €
51,rue du faubourg chavenay,DORMANS,51700,,,1.98 €,1.95 €
51,14 ROUTE NATIONALE,Beaumont-sur-Vesle,51360,1.95 €,,,1.99 €
51,13 place Clemenceau,MOURMELON-LE-GRAND,51400,,,2.20 €,2.09 €
51,Autoroute de l'Est,Les Petites-Loges,51400,2.18 €,,2.30 €,2.22 €
51,Rue Clos de la Noue,Châtillon-sur-Marne,51700,1.98 €,,2.08 €,1.95 €
51,Route de Reims,SAINT-BRICE-COURCELLES,51370,1.98 €,,2.09 €,2.01 €
51,La Croix MaurencienneZone Industrielle de St-Brice,SAINT-BRICE-COURCELLES,51370,1.91 €,0.81 €,2.07 €,1.95 €
51,Avenue de la Gare,SAINTE-MENEHOULD,51800,1.94 €,0.80 €,2.06 €,1.99 €
51,7 avenue Jacques Simon,SAINT-MEMMIE,51470,,,2.20 €,2.10 €
51,32 AVENUE DU BOIS DU ROI,Pargny-sur-Saulx,51340,1.94 €,,2.05 €,1.98 €
51,31 Rue de Neufchâtel,Reims,51100,,,2.03 €,1.94 €
51,Rue Jules Lobet,PIERRY,51530,1.92 €,,1.98 €,1.93 €
51,Rue du Bas Volet,Les Mesneux,51370,1.97 €,,2.10 €,2.00 €
51,12  AVENUE BREBANT,REIMS,51100,1.85 €,0.87 €,1.97 €,1.89 €
51,RN 31 - CROIX ROUGE,FISMES,51170,1.95 €,,2.06 €,1.99 €
51,2 Avenue de Champagne,Damery,51480,,,2.12 €,2.10 €
51,Avenue de la Gare,GIVRY-EN-ARGONNE,51330,2.15 €,,2.35 €,2.16 €
51,1 RUE FRANCIS GARNIER,Reims,51100,1.97 €,0.81 €,2.10 €,1.96 €
51,Rue du Mont l'Hermitte - CC Les Vertes Voyes,Sainte-Menehould,51800,1.94 €,,2.08 €,2.04 €
51,Route de Troyes,SéZANNE,51120,1.89 €,0.74 €,1.99 €,1.93 €
51,13 avenue du general de gaulle,blancs coteaux,51130,1.86 €,0.79 €,1.96 €,1.96 €
51,208 AVENUE DE CHAMPAGNE,FRIGNICOURT,51300,1.84 €,,1.94 €,1.93 €
51,16 route de cernay,REIMS,51100,1.85 €,,1.97 €,1.95 €
51,55 BOULEVARD DAUPHINOT,REIMS,51100,,,,2.17 €
51,ROUTE DE CHALONS,REIMS,51100,,,,2.06 €
51,189 AVENUE PASTEUR,FèRE-CHAMPENOISE,51230,,,2.19 €,2.01 €
51,2 RUE ARMAND BOUXIN,REIMS,51100,1.94 €,0.88 €,2.06 €,1.96 €
51,360  AVENUE DE LAON,REIMS,51100,1.94 €,0.87 €,2.05 €,1.98 €
51,RN 51 CHAMPFLEURY,CHAMPFLEURY,51500,1.94 €,,2.07 €,1.95 €
51,RN 44 - ROUTE DE VITRY LE FRANC,Châlons-en-Champagne,51000,1.86 €,,,1.91 €
51,RD9 CHEMIN DU PARADIS,AVIZE,51190,1.85 €,,1.95 €,1.96 €
51,Rue des Tournières,Mourmelon-le-Grand,51400,1.93 €,0.85 €,2.07 €,1.96 €
51,ROUTE NATIONALE 4,Moeurs-verdey,51120,1.86 €,,1.97 €,1.91 €
51,38 rue de sezanne,Anglure,51260,,,2.29 €,2.29 €
51,RUE DE LA GARE,FISMES,51170,1.92 €,,2.05 €,1.97 €
51,16 FBG LEON BOURGEOIS,Vitry-le-François,51300,1.82 €,0.90 €,1.93 €,1.90 €
51,RD 43 - ZA BUISSON SAVIN LIEU DIT LES NOUSEAUX,FERE-CHAMPENOISE,51230,1.95 €,0.88 €,2.06 €,1.95 €
51,10 Rue du Faubourg de Condé,Montmirail,51210,1.88 €,,2.00 €,1.91 €
51,10 AVENUE DU GENERAL LECLERC,SUIPPES,51600,,,2.06 €,2.00 €
51,46 rue jean Jaurès,Bazancourt,51110,,0.85 €,2.19 €,2.04 €
51,ROUTE NATIONALE 4,SOMMESOUS,51320,1.86 €,0.88 €,1.98 €,1.91 €
51,47 Rue Gosset,Reims,51100,,,2.11 €,1.94 €
51,N31,MUIZON,51140,1.98 €,,2.09 €,2.09 €
51,38 Rue Franklin Roosevelt,CORMICY,51220,1.96 €,,2.07 €,1.95 €
51,AVENUE DU GENERAL DE GAULLE,VERTUS,51130,1.86 €,0.83 €,1.96 €,1.95 €
51,Route de Soissons,FISMES,51170,1.87 €,,1.97 €,1.97 €
51,Route de BISSEUIL,Tours-sur-Marne,51150,1.89 €,,2.02 €,1.98 €
51,50 RUE CERES,REIMS,51100,1.99 €,,2.11 €,2.02 €
51,Route de Châlons,SAINTE-MENEHOULD,51800,,0.85 €,2.13 €,2.04 €
51,Avenue du Mont-Héry,CHALONS-EN-CHAMPAGNE,51000,1.88 €,,1.99 €,1.94 €
51,100 Rue des Limonières,Esternay,51310,1.86 €,0.85 €,,1.96 €
51,Route de Vitry en Perthois,Vitry-le-François,51300,1.85 €,0.87 €,1.97 €,1.94 €
