Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
45,39 AV .J.F.KENNEDY,Orléans,45100,1.85 €,1.11 €,1.96 €,1.81 €,4784264,192524
45,RN 152 Tavers,TAVERS,45190,1.85 €,1.00 €,1.93 €,1.80 €,4776600,161200
45,3 Rue des Beaumonts,Patay,45310,,,1.96 €,1.86 €,4804600,169100
45,69 rue de l'enfer,fay aux loges,45450,,,1.94 €,1.85 €,4792396.18,213571.39
45,600 AVENUE DE VERDUN,OLIVET,45160,1.83 €,,1.93 €,1.79 €,4786874,191097
45,Route de Montargis,CHâTILLON-COLIGNY,45230,1.82 €,1.15 €,1.95 €,1.77 €,4783500,284000
45,3 Chemin de la Sablonnière,Coullons,45720,1.87 €,,1.94 €,1.88 €,4761500,250000
45,Avenue d'Antibes,Amilly,45200,1.83 €,,1.91 €,1.79 €,4797400,273400
45,ZI LA CHAMPAGNE,BONNY-SUR-LOIRE,45420,1.82 €,,1.94 €,1.78 €,4756000,284300
45,Rue de la Bosserie,GIEN,45500,,,1.96 €,1.85 €,4770700,263800
45,3091 RUE MARCEL BELOT,OLIVET,45160,1.94 €,,2.05 €,1.89 €,4784059,191418
45,1 Avenue du Traité de Rome,Saint-Pryvé-Saint-Mesmin,45750,1.83 €,,1.95 €,1.79 €,4788004.66,187006.48
45,RUE DES PRES FLEURIS,LA FERTé-SAINT-AUBIN,45240,,,1.95 €,1.88 €,4772163.454,194436.048044
45,35 rue du general patton,MALESHERBES,45330,,,1.99 €,1.93 €,4829600,239300
45,A19 AIRE DU LOIRET,Beaune-la-Rolande,45340,2.10 €,1.30 €,2.23 €,2.07 €,4808400,247200
45,Route de Boiscommun,BEAUNE-LA-ROLANDE,45340,1.84 €,1.10 €,1.92 €,1.79 €,4806500,242100
45,511 Rue de la Mère Dieu,Amilly,45200,1.99 €,,2.10 €,1.92 €,4797807.8161297,276015.52550045
45,RUE DU VAL D'ORLEANS,INGRé,45140,,,1.96 €,1.90 €,4792400,184500
45,21 rue de Vauluizard,MALESHERBES,45330,1.85 €,1.07 €,1.95 €,1.80 €,4829220,239735
45,RN7 LES STATIONS,Fontenay-sur-Loing,45210,1.97 €,,2.08 €,1.89 €,4806700,276600
45,1094  avenue d'Antibes,Amilly,45200,1.83 €,1.10 €,1.90 €,1.77 €,4797800,273300
45,Avenue du 11 Novembre,PITHIVIERS,45300,1.85 €,,1.94 €,1.79 €,4818391,225072
45,32 bis Avenue de la libération,Villemandeur,45700,,,2.04 €,1.96 €,4799100,270600
45,58 Avenue de Verdun,SAINT-JEAN-DE-BRAYE,45800,1.92 €,,2.02 €,1.84 €,4791900,198200
45,RUE DES CHATAIGNIERS,SARAN,45770,,,,2.03 €,4794871.8,184377.2
45,Avenue du 11 Novembre 1918,PITHIVIERS,45300,1.84 €,,1.95 €,1.96 €,4818400,225100
45,RUE DES PORTES DU GATINAIS,Dadonville,45300,1.88 €,,1.98 €,1.81 €,4816172.0599323,225764.24704192
45,2 rue marcel paul,Châlette-sur-Loing,45120,1.83 €,1.12 €,,1.79 €,4800951.35,272335.76
45,Route d'Ousson,BRIARE,45250,,,1.95 €,1.82 €,4762473.14093,275059.473298
45,1 RUE DE LA GARENNE,PUISEAUX,45390,1.86 €,,1.92 €,1.80 €,4820500,245700
45,181 Rue d'Artois,OLIVET,45160,1.83 €,1.10 €,1.93 €,1.79 €,4784300,191500
45,RUE DES BRUYERES,AMILLY,45200,,1.10 €,1.90 €,1.76 €,4799000,277000
45,11 ROUTE DE SANTRANGES,Beaulieu-sur-Loire,45630,,,,1.92 €,4754100,281500
45,19 Rue Louis Labonne,FLEURY-LES-AUBRAIS,45400,1.84 €,1.10 €,1.90 €,1.79 €,4792300,190800
45,32 Avenue de la Bolière,ORLEANS,45100,1.87 €,,1.97 €,1.81 €,4783100,192800
45,Allée de la Gravière,Château-Renard,45220,1.83 €,1.19 €,1.95 €,1.78 €,4793219.4146739,292377.45165718
45,AUTOROUTE A77 AIRE DU JARDIN DES ARBRES,VARENNES CHANGY,45290,2.12 €,,2.24 €,2.10 €,4785200,268400
45,13 RUE DE PITHIVIER,BAZOCHES LES GALLERANDES,45480,1.89 €,,1.98 €,1.84 €,4816112.4593693,205182.01447943
45,4 route de Sens,Courtenay,45320,,,2.17 €,1.98 €,4804300,306900
45,Rue de Vauluizard,MALESHERBES,45330,1.85 €,,1.95 €,1.80 €,4829200,239800
45,AUTOROUTE A10 - AIRE D'ORLÉANS-SARAN,GIDY,45520,2.08 €,1.26 €,2.19 €,2.02 €,4798000,185600
