Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
22,34 rue de saint brieuc,Plouagat,22170,,,1.92 €,1.87 €,4853740.59,-299492.14
22,Rue du 19 Mars 1962,CAULNES,22350,1.83 €,,1.90 €,1.83 €,4829100,-215200
22,52 RUE DE BREST,DINAN,22100,1.89 €,0.85 €,2.00 €,1.88 €,4845295,-205733
22,LA LANDE,TRESSIGNAUX,22290,,,2.08 €,1.96 €,4861370.74377,-296402.983124
22,40 Rue d'Armor,Lamballe,22400,,,,,4846827,-253910
22,RN 12,PLOUNEVEZ MOEDEC,22810,1.76 €,0.86 €,1.87 €,1.77 €,4854944,-345286
22,Route de Tréguier,Landebaëron,22140,,,,1.91 €,4863087,-318864
22,LES VILLAGES,Saint-Brieuc,22000,1.83 €,,1.93 €,1.87 €,4852000,-279200
22,2 Rue Charles de Gaulle,LANVALLAY,22100,,,,,4845336.8845,-202551.5676
22,SA BRIODIS Centre Commercial du Carpont,Ploufragan,22440,1.79 €,0.87 €,1.89 €,1.82 €,4850000,-277700
22,Route de Perros Guirec,Lannion,22300,1.84 €,,1.91 €,1.88 €,4874768,-345904
22,RUE DE L'AVENIR,PLéHéDEL,22290,1.89 €,,2.00 €,1.92 €,4870500,-302200
22,Route de Guingamp,LANNION,22300,1.75 €,,1.87 €,1.79 €,4872639.682,-344608.82
22,RN12 - LA MARE MELEE,PLERNEUF,22170,1.78 €,,1.89 €,1.79 €,4852500,-288900
22,z a des parpareux,Loudéac,22600,,,2.10 €,1.95 €,4817900,-268311
22,Route de Lézardrieux,Paimpol,22500,1.79 €,,1.86 €,1.79 €,4877800,-305700
22,32 avenue du Goëlo,SAINT-AGATHON,22200,1.75 €,,1.89 €,1.79 €,4856200,-315300
22,ROUTE DE LANVOLLON,Paimpol,22500,1.79 €,,1.90 €,1.79 €,4877100,-304000
22,Rue de l'Argentaie,Quessoy,22120,1.85 €,,1.92 €,1.87 €,4842200,-265600
22, Rue Chanoine le Texier,MERDRIGNAC,22230,1.82 €,,1.91 €,1.84 €,4819538,-241743
22,route de dol de bretagne,LANVALLAY,22100,1.97 €,,2.13 €,2.00 €,4846069.7292594,-201518.60910311
22,Rue de Brest,TRéMUSON,22440,1.80 €,,,1.86 €,4852276,-285671
22,BL JEAN GUEHENNO,TREGUIER,22220,,0.78 €,1.88 €,1.80 €,4877800,-323200
22,La Coulebart,DINAN,22100,,,1.84 €,1.80 €,4844500,-206900
22,RUE DE LA LIBERTE,Plémet,22210,,,1.89 €,1.81 €,4817281,-259870
22,2  RUE DU CHALLONGE,PLEDRAN,22960,,,1.93 €,1.88 €,4844553.832,-275129.545
22,72 RUE NOTRE DAME,LOUDEAC,22600,1.99 €,0.87 €,,2.08 €,4817700.2732873,-274700.21593615
22,66 rue Mouëxigné,Lamballe,22400,1.74 €,,1.84 €,1.77 €,4846200,-251500
22,Rue du Pilaga,BROONS,22250,,,1.86 €,1.80 €,4831500,-225000
22,ZONE DE KERIBET,Pordic,22590,1.80 €,0.80 €,1.89 €,1.82 €,4857200,-282200
22,5 ROUTE DE PONTIVY,Mûr-de-Bretagne,22530,1.84 €,,1.95 €,1.89 €,4819800,-298700
22,33 Rue de l'Éperonnerie,Pontrieux,22260,1.85 €,,,1.88 €,4869621,-316593
22,21 Boulevard de la Gare,LOUDEAC,22600,1.79 €,,1.90 €,1.84 €,4817800,-276000
22,24 Rue de l'Armor,PLEUBIAN,22610,,,1.93 €,1.90 €,4884400,-313700
22,KERGOUET,SAINT JOUAN DE L'ISLE,22350,1.84 €,,1.91 €,1.86 €,4827402.585,-218648.75602089
22,LA NOE,Plurien,22240,1.84 €,,1.95 €,1.89 €,4862700,-240500
22,Route de Corlay,GUINGAMP,22200,1.80 €,,1.89 €,1.79 €,4855300,-314900
22,Rue Pierre Loti,SAINT-QUAY-PORTRIEUX,22410,1.83 €,,1.90 €,1.90 €,4865900,-285300
22,56 avenue du Général de Gaulle,Paimpol,22500,,,1.88 €,1.82 €,4877708,-304672
22,RTE N 12,Hillion,22120,1.92 €,0.97 €,2.04 €,2.00 €,4847900,-262500
22,le vivier rond point du volozen,Quintin,22800,1.75 €,,1.83 €,1.79 €,4840807.360198,-291867.82083897
22,45  avenue des Prunus,LOUARGAT,22540,,,,1.96 €,4856555.8711003,-334030.61349487
22,Le Chene Vert,PLOUHA,22580,,,1.89 €,1.81 €,4869100,-293300
22,21 ter  rue de Penthièvre,Jugon-les-Lacs,22270,,,1.95 €,1.86 €,4840900,-232400
22,Rue de Guingamp,Bégard,22140,1.81 €,,1.89 €,1.80 €,4862300,-329600
22,Rue Charles de Gaulle,LANVALLAY,22100,,,1.85 €,1.78 €,4845300,-202000
22,BOULEVARD D ARMOR,Bourbriac,22390,,,1.95 €,1.89 €,4847800,-318600
22,Rue de la République,Plénée-Jugon,22640,1.85 €,,1.93 €,1.89 €,4836800,-239600
22,73 Boulevard de Penthièvre,LOUDEAC,22600,1.75 €,,,1.81 €,4819100,-275600
22,RUE DU GENERAL DE GAULLE,Lanvallay,22100,,,1.85 €,1.78 €,4845400,-202600
22,4 rue de la Pièce Monsieur,FREHEL,22240,,,,1.92 €,4862783.3653794,-236175.09440674
22,3 RUE DES PRES JOUETTES - PA LANJOUAN 2,LAMBALLE ARMOR,22400,1.77 €,0.83 €,1.88 €,1.79 €,4848175.1064981,-249810.10304171
22,22 Boulevard de la Marne,GUINGAMP,22200,1.95 €,,2.05 €,1.99 €,4855800,-314100
22,ROUTE DE ST JACUT,PLOUBALAY,22650,1.90 €,,2.01 €,1.94 €,4857700,-215200
22,Zac du Plateau,PLERIN,22190,1.77 €,0.84 €,1.86 €,1.79 €,4853400,-276000
22,3 Rue Champlain,SAINT-BRIEUC,22000,1.83 €,,1.93 €,1.90 €,4852200,-273200
22,CC LES PRES CALANS,BINIC,22520,1.83 €,0.86 €,1.89 €,1.82 €,4861177,-283098
22,Rue du Parc Mail,Uzel,22460,2.10 €,,2.35 €,1.96 €,4828100,-283900
22,RUE JEAN MONNET,YFFINIAC,22120,,,2.25 €,1.82 €,4848212.653,-264562.215
22,35 RUE DES FONTAINES,LANVOLLON,22290,1.79 €,,1.89 €,1.79 €,4863300,-297900
22,Rue Charles le Goffic,CALLAC,22160,1.84 €,,,1.90 €,4840100,-343000
22,ZA DE KERFOLIC,Minihy-Tréguier,22220,1.80 €,,1.88 €,1.80 €,4877930,-324469
22,Z.A. de La Millière II,PLUDUNO,22130,1.74 €,,1.84 €,1.77 €,4852520.249,-225154.454
22,44  BOULEVARD CHARNER,Saint-Brieuc,22000,1.86 €,0.84 €,1.97 €,1.90 €,4850836,-276785
22,Rue Jules Verne,LANGUEUX,22360,1.77 €,0.75 €,1.86 €,1.79 €,4849600,-272800
22,ROUTE NATIONALE 12 - ROUTE DE SAINT BRIEUC,PLOUMAGOAR,22200,1.78 €,0.85 €,1.89 €,1.79 €,4855700,-312900
22,C. C. DE LA BAIE,Yffiniac,22120,1.84 €,0.75 €,1.93 €,1.80 €,4848100,-267378
22,Chemin de l'Oratoire,LOUARGAT,22540,1.83 €,,1.93 €,1.86 €,4857000,-333900
22,RUE GUILLAUME APOLLINAIRE,Saint-Brieuc,22000,1.77 €,0.84 €,1.87 €,1.79 €,4849806,-274533
22,Rue du Général de Gaulle,PLOUARET,22420,1.90 €,0.83 €,,1.94 €,4860870,-347749
22,CROAS DOM HERRY,SAINT-NICOLAS-DU-PéLEM,22480,,,1.87 €,1.82 €,4830669.76252,-316397.737542
22,RUE JEAN PAUL SARTRE,LANNION,22300,1.81 €,,1.90 €,1.86 €,4874500,-347700
22,Le Pré des Landes,Taden,22100,1.79 €,0.88 €,1.85 €,1.81 €,4847100,-204400
22,Rue Raymond Pellier,PAIMPOL,22500,,0.90 €,2.06 €,2.00 €,4876900,-304100
22,Rue Paul SalaunParc Activités Izellan,PLOUBEZRE,22300,1.80 €,0.80 €,1.88 €,1.84 €,4871400,-345400
22,LE CAP VERT,Rostrenen,22110,1.76 €,,1.88 €,1.77 €,4823682,-331209
22,KERLOUIS,Plouguernevel,22110,,,1.88 €,1.77 €,4824221.6194891,-329616.6474018
22,Route de Plancoet,Ploubalay,22650,,,1.99 €,1.95 €,4858000,-213600
22,35 RUE DE MONTIFAULT,Plœuc-L'Hermitage,22150,1.79 €,,1.89 €,1.82 €,4835079.047,-276064.927
22,13 RUE DES 31 MARTYRS,Plestan,22640,,,,1.89 €,4842300,-244500
22,Rue du Trébuchon,Plouguenast,22150,,,1.93 €,1.88 €,4828100,-270200
22, Rue Jean Monnet,TRéGUEUX,22950,1.83 €,,,1.87 €,4849104,-276346
22,20 RUE DU DOCTEUR LAVERGNE,LAMBALLE,22400,,,1.93 €,1.82 €,4846721.98707,-252152.26987
22,5 ROUTE DE PLUSSULIEN,CORLAY,22320,,,2.31 €,2.03 €,4831638.56,-305558.36
22,Rue Bertrand Duguesclin,Plouasne,22830,,,,1.94 €,4829900,-200300
22,Z.A Les Landes,PLOUëR-SUR-RANCE,22490,,0.80 €,1.88 €,1.80 €,4853226.74691,-200716.761564
22,25 avenue Georges Clemenceau,LAMBALLE,22400,1.79 €,0.80 €,1.88 €,1.80 €,4846200,-250400
22,RUE RAYMOND PELLIER,PAIMPOL,22500,,,1.86 €,1.79 €,4877300,-303900
22,7 rue du Blavet,Laniscat,22570,1.90 €,,2.00 €,1.95 €,4822700,-317600
22,8 Rue des Rouairies,Plélan-le-Petit,22980,1.82 €,0.85 €,1.89 €,1.82 €,4843200,-221700
22,2 Pont de L'Hyvet,Merdrignac,22230,1.86 €,,1.97 €,1.88 €,4819062.6729638,-240418.50794235
22,849 Rue de la Ville Gourelle,Plaintel,22940,1.78 €,0.80 €,1.87 €,1.77 €,4841500,-282200
22,708 rue du Verger,Lamballe Amor Planguenoual,22400,1.84 €,,1.92 €,1.89 €,4853188.1398143,-257770.83107308
22,BEL AIR - RN 12,COETMIEUX,22400,1.78 €,,,1.79 €,4847700,-258600
22,31 Rue de Lannion,Penvénan,22710,,,1.83 €,1.82 €,4880248,-330911
22,Rue de l'hôpital,Évran,22630,,,,1.86 €,4837711.932,-197519.48
22,Route de Perros,Lannion,22300,1.75 €,0.85 €,1.87 €,1.79 €,4875000,-345800
22,34 Rue Ernest Renan,Perros-Guirec,22700,,,2.02 €,1.88 €,4880000,-344300
22,C CIAL LE CHENE,QUEVERT,22100,1.79 €,,1.84 €,1.80 €,4846400,-208700
22,9 route de Sainte-Croix Z I DE GRACES,Guingamp-GRACES,22200,1.99 €,0.95 €,,1.97 €,4855100,-315800
22,Rue de l'Église,SAINT-QUAY-PERROS,22700,1.78 €,,1.88 €,1.82 €,4878700,-344800
22,Zone Commerciale BEL AIR / Axe Lannion-Morlaix D786,PLOULEC'H-LANNION,22300,1.78 €,,1.90 €,1.82 €,4872200,-348200
22,Z.A DE BERLOUZE,UZEL,22460,1.85 €,,1.96 €,1.89 €,4828700,-282700
22,8 Boulevard des Peupliers,LOUDéAC,22600,,,,1.98 €,4816600,-275100
22,BD des islandais,ÉTABLES-SUR-MER,22680,,,1.95 €,1.86 €,4864400,-283700
22,RUE DES CLOS,PLESTIN-LES-GRèVES,22310,1.75 €,0.67 €,1.79 €,1.76 €,4865700,-363300
22,LES JEANNETTES,ERQUY,22430,1.75 €,0.99 €,1.91 €,1.79 €,4862200,-243900
22,15  rue de Saint Alban,PLéNEUF-VAL-ANDRé,22370,1.80 €,0.75 €,,1.84 €,4858111,-253447
22,Rue des Plages,TRéBEURDEN,22560,1.78 €,0.80 €,1.88 €,1.82 €,4877000,-357100
22,Rue du Connétable de Clisson,PLANCOET,22130,1.74 €,0.85 €,1.84 €,1.77 €,4852500,-224100
22,Rue Guillaume Apollinaire,SAINT-BRIEUC,22000,,,,1.88 €,4849800,-274700
22,rond point kennedy,Guingamp,22200,1.78 €,,1.89 €,1.80 €,4856256.05107,-316559.732183
22,RUE POUL PALUD,TRéGASTEL,22730,,0.85 €,1.88 €,1.82 €,4882400,-349800
22,Route de Tréguier / RD 767Centre commercial Le Lion de Saint-Marc,LANNION,22300,1.78 €,0.80 €,1.88 €,1.82 €,4873431.822,-343779.114
22,PARC ACTIVITÉS DE KER D'HERVÉ,Loudéac,22600,1.75 €,0.75 €,,1.81 €,4819337.648347,-275740.3878098
22,Centre commercial des promenades,MATIGNON,22550,1.76 €,0.85 €,1.86 €,1.80 €,4860000,-228700
22,19 Route de Saint Brieuc,Plouézec,22470,1.80 €,,1.88 €,1.83 €,4874789.2,-298463.5
22,Route de Guingamp,LANNION,22300,1.76 €,,1.88 €,1.79 €,4871900,-341600
22,KERJEAN / RD 790,Saint-Nicolas-du-Pélem,22480,1.85 €,,1.96 €,1.89 €,4831000,-315600
22,la ville neuve,Saint-Brandan,22800,1.75 €,,1.82 €,1.76 €,4840000,-290000
22,ZA DU CHALET,BROONS,22250,,0.80 €,1.86 €,1.80 €,4831875,-225597
22,Rue de Kerbuannec,Callac,22160,1.79 €,0.80 €,1.89 €,1.80 €,4840700,-343400
