Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE
58,ROUTE DE PARIS,Pougues-les-Eaux,58320,,,2.00 €,2.00 €
58,LE BOURG,Brassy,58140,null,null,null,null
58, Rue Vieille,DORNES,58390,null,null,null,null
58,9 route de l’aerodrome,Cosne cours sur Loire,58200,,0.95 €,,
58,AVENUE DU 8 MAI,LORMES,58140,2.09 €,,2.18 €,2.03 €
58,58 Rue du Maréchal Leclerc,COSNE-COURS-SUR-LOIRE,58200,,,2.06 €,2.00 €
58,route de lyon,CHALLUY,58000,1.88 €,,2.06 €,1.97 €
58,24  Route de Nevers,SAUVIGNY-LES-BOIS,58160,,,,2.09 €
58,10 Boulevard Pierre de Coubertin,NEVERS,58000,1.90 €,,2.00 €,1.98 €
58,43 Route de Nevers,FOURCHAMBAULT,58600,1.91 €,,2.01 €,1.98 €
58,Vanne du Gour,CLAMECY,58500,,,2.08 €,1.94 €
58,Route de Cosne,Saint-Amand-en-Puisaye,58310,,0.86 €,,1.98 €
58,BOULEVARD SAINT EXUPERY,Nevers,58000,,,2.25 €,
58,Route de Nevers,Sauvigny-les-Bois,58160,,,1.98 €,1.98 €
58,Rue de Paris,MAGNY-COURS,58470,,,2.04 €,2.04 €
58,AIRE DE MAGNY-COURS RN 7 PRE DE LA FONTAINE,MAGNY COURS,58470,2.02 €,1.10 €,2.10 €,2.05 €
58,AVENUE DE LA FRINGALE,TANNAY,58190,,,1.99 €,1.98 €
58,Route de Fourchambault,MARZY,58180,1.90 €,,1.97 €,1.97 €
58,1 rue Guy de Jean,Donzy,58220,1.97 €,0.85 €,2.00 €,1.98 €
58,route de Decize,Cercy-la-Tour,58340,2.13 €,,2.18 €,2.05 €
58,103 rue du Maréchal Leclerc,Cosne-Cours-sur-Loire,58200,1.99 €,,2.10 €,2.02 €
58,RUE LEDRU ROLLIN,LUZY,58170,2.10 €,,2.18 €,2.07 €
58,16 BLD CAMILLE DAGONNEAU,Varennes-Vauzelles,58640,1.96 €,,,2.02 €
58,4 ROUTE NATIONALE,Saint-Léger-des-Vignes,58300,1.91 €,,,2.06 €
58,107 Route de Moulins,DECIZE,58300,1.92 €,,2.15 €,1.95 €
58,Boulevard Beauregard,Coulanges-lès-Nevers,58660,1.88 €,0.85 €,2.01 €,1.94 €
58,IMPASSE DE LA SABLIERE,Saint-Éloi,58000,1.88 €,,,1.94 €
58,CHEMIN DU GRAND CHAMP,COSNE-COURS-SUR-LOIRE,58200,2.08 €,,2.20 €,2.00 €
58,33 boulevard Pré Plantin,Nevers,58000,1.90 €,0.88 €,1.97 €,1.97 €
58,CHAMPS DE LA BARRIERE,CHATILLON EN BAZOIS,58110,2.16 €,,2.20 €,2.06 €
58,PLACE DU CHAMP DE FOIRE,MOULINS-ENGILBERT,58290,,,2.11 €,2.01 €
58,AUTOROUTE A77 - AIRE DES VIGNOBLES,Tracy-sur-Loire,58150,1.94 €,,2.05 €,1.98 €
