Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
25,COMBE DU MAGNY,DAMPIERRE-LES-BOIS,25490,1.57 €,0.74 €,1.66 €,1.90 €,4751900,691600
25,32 RUE DE LA VAREE,MOUTHE,25240,,,,2.06 €,4671600,619600
25,Rue du Chenau Blond  Les Ecots ZAC,Saône,25660,1.60 €,,,1.95 €,4720900,610300
25,ZA DU PRE ROND,Cuse-et-Adrisans,25680,,,,,4748100,638100
25,8 Place René Cassin,Besançon,25000,1.60 €,0.74 €,1.70 €,1.98 €,4721800,597000
25,2 ROUTE DE GRAY,PIREY,25480,,,,,4725100,596800
25,5 Route de Gray,Besançon,25000,,,,,4724400,598400
25,2 rue de cantley,ORNANS,25290,,,,,4711000,612600
25,4 Rue du Clos Jeune,MORTEAU,25500,1.63 €,,,1.97 €,4705733,661078
25,40 Rue de la Louhière,Morteau,25500,,,,,4706295.999304,660618.20549368
25,17 Rue de l'Amitié,Besançon,25000,1.54 €,0.90 €,,1.84 €,4723329,598521
25,ROUTE DU PRE DES COMBES,MORTEAU,25500,1.55 €,,,1.86 €,4705600,661700
25,Rue de la Cray,VOUJEAUCOURT,25420,,,,,4748200,678000
25,RUE DE LA GRAPPE,Marchaux,25640,1.66 €,,1.74 €,1.99 €,4732076.5279211,612837.16323715
25,Croix-Denis,Sancey,25430,1.80 €,,,1.94 €,4730179.6258093,656997.2688391
25,rue de la combe du puits,École-Valentin,25480,1.90 €,0.71 €,,2.03 €,4727700,599400
25,AUTOROUTE A36 - AIRE DE BESANCON MARCHAUX,MARCHAUX,25640,1.54 €,0.83 €,1.65 €,1.84 €,4732512,611672
25,Rue de Besançon,Doubs,25300,,,,1.85 €,4692200,634300
25,58 Avenue Kennedy,Baume-les-Dames,25110,1.62 €,0.98 €,1.71 €,1.97 €,4735200,635000
25,4 RUE PHILIPPE GOUDEY,EXINCOURT,25400,1.57 €,,,1.96 €,4750100,683500
25,119 faubourg de besançon,MONTBéLIARD,25200,1.70 €,,1.80 €,1.98 €,4750900,677900
25,ROUTE DE RANS,Arc-et-Senans,25610,,,2.00 €,2.10 €,4703500,578500
25,Avenue du Maréchal de Lattre de Tassigny,LE RUSSEY,25210,1.93 €,,,2.11 €,4715797.43772,673122.800677
25,Avenue Foch,L'ISLE-SUR-LE-DOUBS,25250,1.55 €,,1.65 €,1.80 €,4744672.06332,657943.380782
25,place du 8 mai 45,Maîche,25120,2.03 €,,,2.17 €,4725300,680100
25,Rue Pierre Déchanet,PONTARLIER,25300,,,,2.00 €,4690200,633400
25,Z.A. les Salines,Pouilley-les-Vignes,25115,,0.84 €,,1.89 €,4725800,592700
25,21 AVENUE DE LATTRE DE TASSIGNY,ORNANS,25290,,,1.96 €,2.06 €,4710508.59005,613111.903113
25,Rue Pierre Perçot,VILLERS-LE-LAC,25130,,,,2.10 €,4705700,667000
25,RN 57,MAMIROLLE,25620,,,,,4720100,614000
25,Zone Artisanale des Prés Chalots,Roche-lez-Beaupré,25220,1.60 €,,1.68 €,1.90 €,4727300,610200
25,RUE DE LA VERDOLLE,ORCHAMPS-VENNES,25390,,,1.79 €,1.95 €,4712900,652200
25,4 Rue du Lac,SAôNE,25660,1.66 €,0.77 €,,1.85 €,4722879,611298
25,2 Avenue du Général Leclerc,BAUME-LES-DAMES,25110,,,,,4735200,635800
25,59 Rue de Montbéliard,PONT-DE-ROIDE,25150,,,,,4738900,677200
25,6 Rue de Châtillon,ÉCOLE-VALENTIN,25480,1.56 €,0.71 €,1.67 €,1.89 €,4728400,599300
25,Autoroute A36,Écot,25150,1.91 €,1.00 €,1.97 €,2.00 €,4744103.7997849,672916.35015748
25,15 RUE SAINT MICHEL,MORTEAU,25500,1.80 €,,2.00 €,1.86 €,4705600,660900
25,26 Rue des Bouleaux,Pont-de-Roide,25150,1.56 €,,1.68 €,1.90 €,4739100,677000
25,4 Allée du Chêne,Audincourt,25400,1.55 €,,1.69 €,1.89 €,4748631,684373
25,2 RUE DE VESOUL,BESANCON,25000,,,,,4724700,602000
25,52  route de Lausanne,Les Hôpitaux-Neufs,25370,,,,,4677182,637855
25,ROUTE DE LYON,BEURE,25720,1.77 €,,1.87 €,1.95 €,4720700,599900
25,ROUTE DE BETHONCOURT,Montbéliard,25200,1.71 €,,1.81 €,2.00 €,4752704,680990
25,grande rue,Dampierre-sur-le-Doubs,25420,1.79 €,,1.89 €,2.03 €,4747453.7741827,672954.97381
25,2 Rue René Char,BESANçON,25000,1.58 €,,1.71 €,1.92 €,4722500,597300
25,route de dijon,HOUTAUD,25300,1.54 €,,1.65 €,1.87 €,4691400,631900
25,15 Rue de Beaulieu,MANDEURE,25350,,,1.76 €,1.95 €,4744800,681300
25,50 Boulevard Léon Blum,Besançon,25000,1.59 €,,1.67 €,1.90 €,4726000,603200
25,Route Nationale,BAVANS,25550,1.66 €,,,1.97 €,4748200,673400
25,110 Rue de Dole,BESANçON,25000,1.59 €,0.85 €,,1.95 €,4723057,599388
25,AVENUE DE LATTRE DE TASSIGNY,LE RUSSEY,25210,,,2.13 €,2.00 €,4715484.94,671999.6
25,RN 73,CHALEZEULE,25220,1.97 €,,2.00 €,2.11 €,4726376.772,605826.578
25,9 ROUTE DE LYON,QUINGEY,25440,1.62 €,0.74 €,1.70 €,1.97 €,4710200,588600
25,2 Route de Clerval,Sancey-le-Long,25430,1.90 €,,2.00 €,2.10 €,4730600,660100
25,60 rue de belfort,BESANCON,25000,1.95 €,,2.00 €,2.22 €,4724936,603193
25,CHÂTEAU FARINE,BESANCON,25000,1.44 €,0.78 €,1.54 €,1.73 €,4722200,596300
25,3 Rue de la Porte des Noyes-CLERVAL,PAYS DE CLERVAL,25340,,,2.00 €,2.06 €,4739400,649800
25,ZA LES CAVES,Gilley,25650,,,,2.12 €,4704739.0073703,649753.26782419
25,Rue de la 5ème DB,Arcey,25750,1.68 €,,,1.97 €,4751800,664900
25,rue du maréchal de Lattre de Tassigny,Valdahon,25800,,,1.80 €,1.95 €,4715000,633700
25,16 Avenue d'Helvétie,Montbéliard,25200,1.48 €,0.79 €,,1.81 €,4750869,680817
25,7 RUE DE PONTARLIER,SOCHAUX,25600,1.54 €,0.74 €,,1.90 €,4751424.24,683489.03
25,1 ROUTE DE BELCHAMP,VALENTIGNEY,25700,1.50 €,,1.61 €,,4748400,683400
25,ZAC LES BELLES OUVRIERES,SAINT-VIT,25410,1.54 €,,,1.92 €,4718667,582766
25,85 grande rue,BAVANS,25550,,,2.17 €,2.06 €,4748100.4019895,674753.77451051
25,1 Rue du Jura,MAICHE,25120,1.55 €,,,1.86 €,4724600,681100
25,24 Rue Ernest Nicolas,BAUME-LES-DAMES,25110,1.65 €,0.74 €,,1.96 €,4734990.88497,634694.382569
25,ZA DE COMBE PARNETTE SUR RN83,LAVANS LES QUINGEY,25440,1.62 €,0.74 €,1.70 €,1.97 €,4708000,588500
25,Rue des Fourches,VERCEL-VILLEDIEU-LE-CAMP,25530,,,1.84 €,1.91 €,4718000,639000
25,33 GRANDE RUE,Pierrefontaine-les-Varans,25510,1.78 €,,1.88 €,2.17 €,4721800,654200
25,19 Rue de Besançon,Saint-Vit,25410,1.59 €,,,1.92 €,4718700,582500
25,LE PIED DES GOUTTES,MONTBéLIARD,25200,1.55 €,0.88 €,,1.90 €,4749900,681400
25,5 ROUTE VERNIER FONTAINE,VALDAHON,25800,1.57 €,,1.80 €,1.90 €,4714800,633100
25,82 Rue du Général de Gaulle,Bart,25420,,,,2.10 €,4748700,677000
25,RN 73,CHEMAUDIN,25320,,,,,4720500,588700
25,114 Grande Rue,Frasne,25560,1.60 €,,,2.00 €,4685200,615200
25,1 chemin Voie des Agasses,Chalezeule,25220,1.55 €,,1.63 €,1.79 €,4726400,606700
25,ROUTE DE PONTARLIER,LEVIER,25270,,,,2.10 €,4695400,612800
25,Rue de la Cray,VOUJEAUCOURT,25420,,,2.00 €,2.03 €,4748200,678000
25,940  Rue de Montbéliard,MATHAY,25700,1.66 €,,,1.95 €,4743800,678300
25,Route de Bonnay,DEVECEY,25870,,0.90 €,1.70 €,1.90 €,4732724,601064
25,2 RUE DU CENTRE,MONTFERRAND-LE-CHâTEAU,25320,,,1.75 €,1.93 €,4718800,591200
