Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
35,LA BROSSE,LA CHAPELLE-DES-FOUGERETZ,35520,1.90 €,,2.01 €,1.95 €,4817100,-172000
35,27 RTE DE RENNES,Cesson-Sévigné,35510,1.95 €,,2.06 €,1.98 €,4811400,-161400
35,50 rue de belle épine et boulevard des métairies,Cesson-Sévigné,35510,,,1.89 €,1.90 €,4811934.94,-160381.89988216
35,LA CROIX COUVERTE,VIEUX-VY-SUR-COUESNON,35490,1.82 €,1.07 €,,1.88 €,4832908.18661,-152412.44194
35,Rue D'orgeres  Zac De  La Grée,Bourgbarré,35230,1.88 €,,1.93 €,1.92 €,4799513.3,-162105.1
35,55 Boulevard des Déportés,Saint-Malo,35400,1.82 €,,1.92 €,1.88 €,4865797,-197092
35,1 Rue Gifard,DOMLOUP,35410,1.82 €,,,1.88 €,4805600,-152500
35,LE PUITS SALIOU,Plerguer,35540,1.85 €,,1.93 €,1.92 €,4853000,-185100
35,35 Avenue du Port,GUIPRY,35480,1.81 €,,1.90 €,1.86 €,4782400,-183700
35,Route de Nantes Le Vallon,NOYAL-CHATILLON-SUR-SEICHE,35230,1.89 €,,2.01 €,1.94 €,4806500,-169800
35,10 rue de Bel Air,CREVIN,35320,,1.09 €,1.98 €,1.93 €,4793435.2,-166727.3
35,8 rue des Sports,Argentré-du-Plessis,35370,1.81 €,,,1.87 €,4806000,-115200
35,7 boulevard de l'yser,Rennes,35200,1.83 €,,1.91 €,1.86 €,4809200,-168000
35,30 route de NANTES,LA GUERCHE-DE-BRETAGNE,35130,1.83 €,1.07 €,1.94 €,1.88 €,4793500,-123200
35,Boulevard de la Robiquette,SAINT GREGOIRE,35760,1.82 €,1.05 €,1.92 €,1.85 €,4813566.0943422,-169340.27734025
35,2 rue du querpon,MERNEL,35330,,,,1.88 €,4789424,-199048
35,la musse,L'HERMITAGE,35590,1.82 €,1.05 €,1.93 €,1.87 €,4812412.714,-180359.016
35,ZA LE CHENE JOLI - CD92,NOYAL-SUR-VILAINE,35530,1.82 €,1.09 €,1.92 €,1.86 €,4812100,-153100
35,20  BOULEVARD DE LA LIBERATION,DINARD,35800,1.85 €,1.13 €,1.92 €,1.89 €,4862300,-205800
35,RUE DU DOCTEUR GRINGOIRE,DOL-DE-BRETAGNE,35120,1.84 €,,1.95 €,1.89 €,4854742.89712,-174232.691284
35,131 Boulevard Gambetta,SAINT-MALO,35400,1.94 €,,2.05 €,1.98 €,4864900,-199100
35,rue de la Flaudais,SAINT-MALO,35400,1.84 €,,1.91 €,1.89 €,4862500,-199400
35,RUE DU GENERAL DE GAULLE,Saint-Grégoire,35760,,,,,4815872.7323573,-168852.13491845
35,Rue de l'Orson,VERN-SUR-SEICHE,35770,1.81 €,,,1.86 €,4806452.2193086,-162662.61040048
35,RUE CLOS GERARD,Montreuil-sur-Ille,35440,,,1.82 €,1.85 €,4830969,-166720
35,14 COURS CAMILLE CLAUDEL,ST JACQUES DE LA LANDE,35136,1.85 €,1.17 €,1.90 €,1.89 €,4808200,-171200
35,Rue Loroux,Chantepie,35135,,,,1.89 €,4808735,-162186
35,3 PARC DES LIZARDAIS,Grand-Fougeray,35390,1.84 €,1.07 €,1.94 €,1.88 €,4772400,-173300
35,ZA DU PORTAIL RN 12,Thorigné-Fouillard,35235,1.94 €,1.10 €,2.05 €,1.99 €,4815700,-159200
35,ROUTE NATIONALE 12 - AIRE DU PAYS DE RENNES,Saint-Gilles,35590,1.94 €,1.12 €,2.05 €,1.98 €,4816489.35963,-186619.891216
35,Route de Bain de Bretagne,Janzé,35150,1.84 €,,1.94 €,1.90 €,4795513,-150346
35,AVENUE DES PLATANES,MORDELLES,35310,1.82 €,,1.92 €,1.87 €,4808000,-183500
35,Rue Ampère,GUICHEN,35580,1.82 €,1.05 €,1.93 €,1.88 €,4797024.4514,-179613.185032
35,Avenue Général de Gaulle,SAINT-MALO,35400,1.82 €,1.07 €,,1.88 €,4863556.27541,-199025.665476
35,7 AV. DES ERABLES,COMBOURG,35270,,,1.89 €,1.87 €,4841239.85702,-174621.617431
35,Rue Saint-Pierre,Domagné,35113,,,1.89 €,1.90 €,4807300,-139600
35,20 BOULEVARD SAINT GERMAIN,Fougères,35300,1.84 €,,1.92 €,1.90 €,4836200,-120900
35,2 rue de Trégor,Saint-Aubin-du-Cormier,35140,,,,2.01 €,4825600,-141600
35,126  BOULEVARD DES TALARDS,Saint-Malo,35400,1.94 €,1.10 €,2.05 €,1.98 €,4863915.57596,-200911.35676
35,Le moulin du domaine,SAINT-JOUAN-DES-GUéRETS,35430,1.84 €,,1.91 €,1.92 €,4860500,-197700
35,rue du bord de mer,Saint-Benoît-des-Ondes,35114,1.94 €,,1.99 €,2.00 €,4861900,-184900
35,1 Rue de l'Écusson,Lohéac,35550,,,2.04 €,2.03 €,4787285,-187765
35,68 Boulevard Jules Verger,DINARD,35800,,,,1.89 €,4861500,-207000
35,LE CHENE VERT,Bain-de-Bretagne,35470,1.81 €,1.07 €,1.92 €,1.87 €,4784600,-168700
35,58 avenue de la verrerie,FOUGERES,35300,1.94 €,,2.05 €,1.98 €,4836300,-118800
35, Rue du Général Allard,MESSAC,35480,,,1.92 €,1.86 €,4782082,-180959
35,16  rue d'Aleth,LA GOUESNIERE,35350,1.88 €,,1.97 €,1.94 €,4860500,-190000
35,ROUTE NATIONALE 157 - AIRE DE MONDEVERT,MONDEVERT,35370,2.03 €,1.26 €,2.14 €,2.09 €,4808940.21297,-109563.077426
35,1 rue de Domalain,VITRé,35500,1.81 €,1.07 €,1.91 €,1.86 €,4810983.64701,-121377.14592
35,64 rue de Rennes,Betton,35830,2.06 €,,2.17 €,2.04 €,4817200,-164100
35,ZONE COMMERCIALE DE LA PILAIS,Lécousse,35133,1.83 €,1.05 €,1.92 €,1.88 €,4835300,-123600
35,Rue de Rennes,MONTFORT-SUR-MEU,35160,1.93 €,,2.04 €,,4813900,-193900
35,238 Rue Saint-Malo,Rennes,35000,,,1.93 €,1.94 €,4812600,-168500
35,84 rue de Vannes,REDON,35600,1.93 €,,2.04 €,1.97 €,4764400,-209200
35,Zone Industrielle de L'Etang,SAINT-GREGOIRE,35760,1.82 €,1.05 €,1.92 €,1.85 €,4814000,-168600
35,Rue Mathurin Méheut,NOYAL-CHâTILLON-SUR-SEICHE,35230,1.83 €,,1.91 €,1.88 €,4804500,-166900
35,21 Route de Redon,VITRé,35500,1.78 €,1.00 €,1.91 €,1.84 €,4811188.72889,-121216.857653
35,Rue des Frênes,LA FRESNAIS,35111,1.85 €,,1.95 €,1.90 €,4859200,-184500
35,Rue Jules Vallès,Rennes,35000,1.82 €,,1.90 €,1.87 €,4810436,-171046
35,Allée Morvan Lebesque,Rennes,35700,1.84 €,1.07 €,1.92 €,1.88 €,4813100,-163300
35,D177 - LES BOIS,GUIGNEN,35580,1.85 €,,1.93 €,1.88 €,4791700,-185700
35,RN 137 COTE EST,Saint-servan-sur-mer,35400,1.85 €,1.11 €,1.93 €,1.90 €,4861291.4428869,-198185.14218928
35,ZONE ARTISANALE D'OLIVET,Servon-sur-Vilaine,35530,,,1.94 €,1.96 €,4810100,-145900
35,AIRE DU HARDIER,BRIE,35150,1.94 €,1.13 €,,1.97 €,4797200,-153900
35,CENTRE COMMERCIAL ALMA  10 RUE B,RENNES,35000,1.83 €,,1.92 €,,4808300,-167600
