Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
16,ave du general de gaulle,SOYAUX,16800,1.71 €,0.70 €,1.79 €,1.96 €,4563900,21900
16,430 ROUTE DE BORDEAUX,ANGOULEME,16000,1.67 €,0.85 €,1.77 €,1.96 €,4564268,13526
16,RN 141,ÉTAGNAC,16150,,,,,4589408.20321,78994.9785626
16,ROUTE DE GENAC,ROUILLAC,16170,1.69 €,0.76 €,1.77 €,1.97 €,4577700,-6100
16,RN 10,Reignac,16360,,,,1.98 €,4542582.0487558,-17272.59261077
16,105 Rue Basse Saint-Martin,COGNAC,16100,1.69 €,,1.78 €,1.94 €,4568600,-33800
16,43 PLACE DE LA CORDERIE,COGNAC,16100,1.77 €,0.85 €,1.88 €,,4569309,-32722
16,Route d'Aigre ,Ruffec,16700,,0.71 €,1.82 €,1.97 €,4602138,18967
16,122 Rue Nationale,Roumazières-Loubert,16270,1.73 €,0.76 €,1.81 €,1.97 €,4588434,57522
16,250 Avenue de la République,L'ISLE-D'ESPAGNAC,16340,1.77 €,,1.87 €,2.01 €,4566500,20100
16,Rue de la Tude,Chalais,16210,1.74 €,0.76 €,1.82 €,1.93 €,4527300,4200
16,144 route de Saint Jean d'Angély,Saint-Yrieix-sur-Charente,16710,1.73 €,,1.95 €,1.95 €,4569000,11500
16,RN 10 - LES CHAUVAUDS,CHAMPNIERS,16430,1.67 €,0.85 €,1.77 €,1.96 €,4570100,18200
16,BD DU 8 MAI 1945,ANGOULEME,16000,1.77 €,0.83 €,1.88 €,2.04 €,4566000,16500
16,18 Boulevard du 8 Mai,LA ROCHEFOUCAULD,16110,,,1.97 €,1.93 €,4574594,38625
16,Le cerisier de la Barre,Ansac-sur-Vienne,16500,1.86 €,,1.99 €,2.07 €,4598927.3646187,61530.42573943
16,RN10 Aire des Groies,Villegats,16700,1.90 €,0.99 €,2.02 €,2.11 €,4598546.3882983,20048.889066011
16,1 ROUTE DE SIGALAUD,Villebois-Lavalette,16320,1.72 €,0.70 €,1.80 €,1.95 €,4548200,27800
16,AUX NAULETS PEREUIL,Blanzac-Porcheresse,16250,1.79 €,,1.90 €,1.90 €,4547271.338,4810.332
16,Place de l'Hôtel de Ville,Montbron,16220,1.76 €,,,1.98 €,4566500,50100
16,ZA Les Montagnes Les Plantes Neuves,Champniers,16430,1.71 €,,,1.95 €,4568300,17900
16,40 Avenue Général Leclerc,Jarnac,16200,,,,,4568095,-16268
16,ZA DE CHASSAT,CHABANAIS,16150,1.72 €,1.00 €,1.85 €,1.98 €,4587800,72600
16,Route de Barbezieux CD 14,Baignes-Sainte-Radegonde,16360,1.79 €,,1.88 €,1.93 €,4538500,-23000
16,RN10 LES GRANDES CHAUMES,CHAMPNIERS,16430,1.74 €,,,1.97 €,4571478,20692
16,RN 10,RUFFEC,16700,1.90 €,,2.02 €,2.12 €,4601900,18400
16,Avenue de l'Europe,JARNAC,16200,1.72 €,0.76 €,1.80 €,1.96 €,4568581.065,-16473.549
16,RN 141,CHABANAIS,16150,,,,2.09 €,4587600,71900
16,Route de Limoges,LA ROCHEFOUCAULD,16110,1.68 €,0.71 €,1.77 €,1.96 €,4574200,38700
16,Route d'Angoulême,Chasseneuil-sur-Bonnieure,16260,1.82 €,,1.93 €,2.05 €,4581500,44300
16,Route de Bordeaux,LA COURONNE,16400,1.71 €,,1.81 €,1.93 €,4562011.8,10582.2
16,Lieu-Dit Plaisance,BARBEZIEUX-SAINT-HILAIRE,16300,1.76 €,,1.87 €,1.98 €,4546000,-14300
16,2 Rue de la Gare,CHASSENEUIL-SUR-BONNIEURE,16260,1.77 €,,1.86 €,2.00 €,4582700,45400
16,Avenue du 8 Mai 1945,CONFOLENS,16500,1.74 €,0.76 €,1.83 €,1.96 €,4602100,65600
16,96 Avenue de la Gare,LA COURONNE,16400,1.72 €,,1.81 €,1.94 €,4560700,9000
16,PLACE DE LA GARE - 3 BLD GAMBETTA,Châteauneuf-sur-Charente,16120,1.92 €,,1.99 €,1.92 €,4560000,-5500
16,Route de Mansle,Saint-Amant-de-Boixe,16330,1.75 €,,,1.94 €,4580400,14000
16,ROUTE DE COGNAC,SEGONZAC,16130,1.78 €,,1.88 €,1.88 €,4561787,-21934
16,2 Clos Chabot,Villejésus,16140,,,1.95 €,1.96 €,4589992.0641752,1484.617568
16,15 route des Boisdons,LINARS,16730,1.74 €,,1.82 €,1.94 €,4565500,8500
16,ROUTE DE BLANZAC,Châteauneuf-sur-Charente,16120,1.73 €,,1.82 €,1.95 €,4558884.8804688,-4798.4026188222
16,Avenue d'Ecosse,JARNAC,16200,1.75 €,,1.83 €,1.96 €,4569096.0364153,-17360.081481934
16,Rue des Paleines,ROUMAZIERES-LOUBERT,16270,1.75 €,,1.82 €,1.96 €,4588248,58262
16,Avenue de l'Europe,BARBEZIEUX-SAINT-HILAIRE,16300,1.76 €,0.80 €,1.87 €,1.97 €,4546704,-16519
16,ROUTE DE MANSLE,Rivières,16110,,,2.00 €,1.94 €,4574695,38339
16,Boulevard Jean Moulin,Angoulême,16000,1.72 €,,1.80 €,1.99 €,4563200,15200
16,2 Avenue des Plantes,FLéAC,16730,,,,2.12 €,4566495.44085,9163.80960888
16,58 Avenue de l Augoumois,Montmoreau-Saint-Cybard,16190,1.74 €,,1.82 €,1.85 €,4540063,13040
16,Avenue Foch,RUELLE-SUR-TOUVRE,16600,,,1.86 €,1.91 €,4568019,21081
