Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
87,17 RUE DU COLLEGE,NANTIAT,87140,,,1.70 €,1.85 €,4600700,116900
87,87 rue jean monet,RILHAC RANCON,87570,,,1.74 €,1.83 €,4589885,131178
87,38 Avenue des Casseaux,LIMOGES,87000,1.59 €,,1.70 €,1.72 €,4583700,127800
87,BOULEVARD DE BEL AIR,LIMOGES,87100,1.42 €,0.73 €,1.53 €,1.62 €,4582146.54804,124194.302558
87,CC LE MAS CERISE,FEYTIAT,87220,1.58 €,0.74 €,1.79 €,1.83 €,4581200,132200
87,RN141,VERNEUIL-SUR-VIENNE,87430,1.62 €,0.78 €,1.76 €,1.92 €,4585000,113200
87,Rue de la Borie,Saint Laurent Sur Gorre,87310,1.66 €,,,1.89 €,4576926.393288,96411.471667165
87,Clos Bart,Saint-Yrieix-la-Perche,87500,1.70 €,,1.80 €,1.92 €,4552226.8105918,121026.69484407
87,27 Avenue du Général Martial Valin,Limoges,87000,,,,,4581282,127259
87,4 Avenue Baudin,Limoges,87000,,,,,4582678,125869
87,AUTOROUTE A 20,Saint-Sulpice-les-Feuilles,87160,1.72 €,,1.81 €,1.96 €,4631300,141900
87,AUTOROUTE A 20,Limoges,87280,1.74 €,,1.83 €,1.96 €,4591399.2308059,129292.14166998
87,ZAC de la fabrique  Rue de la Gare,Rochechouart,87600,1.53 €,0.64 €,1.60 €,1.75 €,4583272.8746586,83143.151685127
87,2 Avenue Léonard Limosin,Panazol,87350,1.58 €,,1.73 €,1.73 €,4582753,129180
87, Avenue de Limoges,COUZEIX,87270,1.58 €,,1.70 €,1.72 €,4585841,124292
87, Avenue Jean Moulin,SAINT-LéONARD-DE-NOBLAT,87400,1.65 €,0.79 €,1.76 €,1.85 €,4583253,149798
87,Avenue d'Oradour sur Glane,Saint-Junien,87200,1.46 €,0.55 €,1.56 €,1.68 €,4589600,91500
87,Rue des Rives,NIEUL,87510,,,1.80 €,1.80 €,4592000,116900
87,Avenue Émile Labussière,Limoges,87100,1.50 €,0.70 €,1.58 €,1.72 €,4584300,125200
87,2 Place Sadi Carnot,LIMOGES,87100,1.59 €,,1.69 €,1.89 €,4584000,125800
87,Avenue de Limoges,COUZEIX,87270,1.54 €,,1.64 €,1.80 €,4586500,123800
87,LE VIEUX ST MAURICE,ST MAURICE LES BROUSSES,87800,,,1.83 €,1.94 €,4570744.595865,124139.70550631
87,zac du grand rieux,Aixe-sur-Vienne,87700,1.60 €,0.77 €,1.70 €,1.75 €,4579800,112400
87,1 rue René Coty,Bellac,87300,,,1.70 €,1.80 €,4612900,105500
87,26 RUE WAGNER,LIMOGES,87000,1.46 €,,,1.69 €,4581845.7256025,124929.94846559
87,RUE JEANNE PICHENAUD,Aixe-sur-Vienne,87700,,,,1.75 €,4579090,113539
87,A20 AIRE DE BEAUNE LES MINES,LIMOGES,87280,1.79 €,0.87 €,1.89 €,1.97 €,4590790.5756291,129251.91624324
87,3 Avenue Louis Aragon,ISLE,87170,1.58 €,,1.69 €,1.80 €,4581000,121900
87,18 Route de Poitiers,BELLAC,87300,,,,,4612600,104400
87,ROUTE DE TOULOUSE,BOISSEUIL,87220,1.48 €,,1.57 €,1.71 €,4578000,130600
87,Avenue Jules Courivaud,MAGNAC-LAVAL,87190,1.60 €,,,1.80 €,4621500,116600
87,LE ROUCHILLOUX,CHâTEAUNEUF-LA-FORêT,87130,1.64 €,,1.80 €,1.89 €,4570942,159823
