Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
76,AUTOROUTE A28 - AIRE DE BOSC MESNIL,Bosc-Mesnil,76680,2.05 €,1.25 €,2.16 €,1.98 €,4967558.9360189,133476.40905368
76,Avenue Aristide Briand,BARENTIN,76360,,,,1.78 €,4953700,96100
76,2010 ROUTE DU HAVRE,FECAMP-SAINT LEONARD,76400,1.83 €,1.06 €,1.94 €,1.80 €,4974544,37202
76,Centre Commercial la LEZARDE,MONTIVILLIERS,76290,1.85 €,,1.94 €,1.79 €,4952500,19000
76,Rue du Commandant Georges Ledru,Canteleu,76380,1.83 €,1.10 €,1.89 €,1.78 €,4945000,102800
76,Rue de l'Europe,FAUVILLE-EN-CAUX,76640,1.84 €,1.07 €,1.93 €,1.78 €,4965200,60000
76,78 RUE GAMBETTA,Dieppe,76200,1.86 €,,1.94 €,1.80 €,4991600,107500
76,24 BD. FAIDHERBE - RD 925,EU,76260,,,,,5005100,142300
76,route de Lillebonne,Gruchet-le-Valasse,76210,1.85 €,,1.94 €,1.79 €,4954700,49500
76,Avenue du Maréchal Joffre,BOLBEC,76210,1.84 €,,1.94 €,1.79 €,4957000,49000
76,97 Avenue René Coty,Sainte-Marie-des-Champs,76190,1.93 €,1.11 €,2.04 €,1.88 €,4962400,77900
76,27 rue des docteurs Cisseville,Forges-les-Eaux,76440,,,1.99 €,1.93 €,4961100,154700
76,ZONE DU GROS CHENE,ISNEAUVILLE,76230,1.84 €,1.10 €,1.91 €,1.79 €,4950398.75947,115396.459007
76,35  rue de la Vallée,LE HAVRE,76600,,,1.94 €,1.78 €,4949500,15500
76,63 AVENUE DES CANADIENS,Saint-Étienne-du-Rouvray,76800,1.84 €,,,1.79 €,4939400,106000
76,c cial du bois cany,Le Grand-Quevilly,76120,1.82 €,,1.90 €,1.79 €,4941765,104579.3
76,20 RUE DU GENERAL FAIDHERBE,GONNEVILLE LA MALLET,76280,,,,1.99 €,4963924.0789021,22573.491702072
76,RUE ARISTIDE BRIAND,ÉPOUVILLE,76133,,,1.94 €,1.79 €,4956180,22054
76,Place Francisco Ferrer,OISSEL,76350,1.83 €,,1.99 €,1.77 €,4934600,109600
76,34 Route de Neufchâtel-en-Bray,LONDINIERES,76660,,,1.95 €,1.79 €,4983000,140400
76,Rue de la Gare,Criquetot-l'Esneval,76280,1.87 €,,1.99 €,1.83 €,4964300,26900
76,RUE DES ACACIAS,Pavilly,76570,,,1.93 €,1.82 €,4956400,95200
76,RN 138 - LA MAISON BRULEE,MOULINEAUX,76530,1.84 €,,1.92 €,1.79 €,4934300,93900
76,922 route de cany,Senneville-sur-Fécamp,76400,,,,1.97 €,4976759.7716663,41928.26526266
76,32 rue de Dieppe,Les Grandes-Ventes,76950,2.13 €,,2.20 €,2.14 €,4978877,122188
76,23 BOULEVARD DE L' EUROPE,ROUEN,76100,1.93 €,1.10 €,2.04 €,1.89 €,4942734,109262
76,Avenue de Saint Yon,SAINT-ÉTIENNE-DU-ROUVRAY,76800,1.83 €,1.10 €,,1.75 €,4939700,110200
76,RUE DES 4 VENTS,TOTES,76890,1.81 €,1.10 €,1.86 €,1.76 €,4968100,104600
76,2 RUE EUGENE MOPIN,LE HAVRE,76610,1.85 €,,1.94 €,1.79 €,4951800,15800
76,72 RUE DES CANADIENS,ENVERMEU,76630,,,1.99 €,1.89 €,4989715.13,125982.35
76,2 Avenue du Président Allende,CANTELEU,76380,,,1.96 €,1.94 €,4945097.3674914,103424.99010498
76,AVENUE PAUL VERLAINE,Le Havre,76610,1.85 €,,1.92 €,1.79 €,4950900,15700
76,BOULEVARD CLEMENCEAU,LE HAVRE,76600,1.93 €,1.11 €,2.04 €,1.89 €,4949000,9800
76,68 AVENUE DU PRESIDENT WILSON,Montivilliers,76290,1.83 €,1.10 €,,1.79 €,4953995.757,17773.185
76,Rue du MAILLON,SAINT-ROMAIN-DE-COLBOSC,76430,,,1.99 €,1.87 €,4952535.29936,36511.2606713
76,Route de Newton Longueville,LONGUEVILLE-SUR-SCIE,76590,,,1.90 €,1.82 €,4979545,110615
76,parc de l'estuaire,GONFREVILLE-L'ORCHER,76700,1.82 €,1.04 €,1.93 €,1.75 €,4950900,22600
76,RD 910,TANCARVILLE,76430,1.83 €,1.10 €,1.94 €,1.79 €,4948442.133,44913.393
76,Route de Valmont,Goderville,76110,,1.18 €,1.94 €,1.82 €,4964469,37595
76,AVENUE MAL DE LATTRE DE TASSIGNY,Saint-Romain-de-Colbosc,76430,1.82 €,1.10 €,1.93 €,1.75 €,4952900,34300
76,Chemin de la Messe,Saint-Pierre-de-Varengeville,76480,1.83 €,,1.89 €,1.78 €,4949800,92900
76,AVENUE DES CANADIENS,DIEPPE,76200,1.82 €,1.10 €,1.92 €,1.79 €,4990522,107678
76,HAMEAU DES HAUT CHAMPS,LES GRANDES VENTES,76950,,,,1.98 €,4978953.78062,121887.113953
76,BD.CLEMENCEAU,LE HAVRE,76600,,,2.04 €,1.89 €,4948900,9800
