Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,
88,ROUTE NATIONALE 57 - AIRE DE LA CROIX SAINT JACQUES,ST NABORD,88200,1.91 €,0.91 €,1.98 €,1.95 €,
88,ROUTE NATIONALE 57 - VOIE EXPRESS,VINCEY,88450,2.00 €,0.88 €,2.10 €,2.04 €,
88,2 Avenue de la Fontenelle,Épinal,88000,1.95 €,,2.00 €,1.98 €,
88,116 Rue d'Alsace,SAINT-DIé-DES-VOSGES,88100,1.91 €,0.85 €,2.00 €,1.95 €,
88,ROUTE D'EPINAL,Bains-les-Bains,88240,1.95 €,0.88 €,2.05 €,2.00 €,
88,Rue de Darney,Girancourt,88390,1.95 €,,2.06 €,1.97 €,
88,401 QUAI JEAN MOULIN,NEUFCHATEAU,88300,,,,2.09 €,
88,RN 57,CHARMES,88130,1.96 €,,2.00 €,1.97 €,
88,493 AVENUE DE ST DIE,ANOULD,88650,,,1.99 €,1.97 €,
88,RUE SAINT MAURICE,Mirecourt,88500,1.90 €,,1.99 €,1.96 €,
88,ROUTE NATIONALE 66,RUPT-SUR-MOSELLE,88360,2.03 €,,2.15 €,2.09 €,
88,11 FAUBOURG DE LA CHIPOTTE,RAMBERVILLERS,88700,1.98 €,,2.08 €,2.02 €,
88,67b  Avenue de la Division Leclerc,NEUFCHâTEAU,88300,1.93 €,,2.02 €,1.98 €,
88,Route Ménil,LE THILLOT,88160,1.89 €,0.85 €,1.97 €,1.93 €,
88,60 Boulevard Kelsch,Gérardmer,88400,,,2.10 €,2.00 €,
88,rue Tambois,POUXEUX,88550,1.91 €,0.90 €,2.00 €,1.96 €,
88,4 Avenue du 17ème B.C.P.,Rambervillers,88700,1.88 €,,2.00 €,1.98 €,
88,Rue d'Alsace,Thaon-les-Vosges,88150,1.99 €,,2.10 €,2.03 €,
44, Rue de la Vieille Cour,MESANGER,44522,1.84 €,,1.93 €,1.91 €,
44,ROUTE DE BOUIN,Bourgneuf-en-Retz,44580,,,,2.01 €,
44,2 Rue Beau Soleil,SAINT-MARS-DU-DéSERT,44850,,,1.98 €,1.95 €,
44,A11 - AIRE DE VARADES PAYS DE LOIRE,VARADES,44370,1.92 €,0.89 €,2.03 €,1.99 €,
44,Rue des Musiciens,Malville,44260,,,2.18 €,1.95 €,
44,306  Rue du Maréchal Foch,Varades,44370,2.25 €,,,2.22 €,
44,7 Avenue du Maréchal de Lattre de Tassigny,Rezé,44400,null,null,null,null,
