Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
46,ROUTE DE MERCUES,Cahors,46000,1.86 €,,1.98 €,1.72 €,4444928.69,143723.62050987
46,9 BOULEVARD DE LA MADELEINE,GOURDON,46300,1.86 €,,1.98 €,1.73 €,4474000,139100
46,Avenue de Souillac,Martel,46600,1.79 €,,1.86 €,1.64 €,4493612,160076
46,1 Rue Louis Fajolles,GRAMAT,46500,1.86 €,,1.91 €,1.71 €,4478100,172700
46,Route de Fumel,GOURDON,46300,1.81 €,,1.89 €,1.65 €,4472600,137300
46,PLACE DU FOIRAIL,Cajarc,46160,1.92 €,,1.89 €,,4448692,184248
46,Avenue de Verdun,SOUILLAC,46200,1.78 €,1.15 €,1.85 €,1.62 €,4489828,146273
46,Le Bourg - RN 20,CRESSENSAC,46600,1.90 €,,1.99 €,1.77 €,4502100,152000
46,ZA DES PEYRETTES SUD,CASTELNAU MONTRATIER,46170,1.80 €,,1.87 €,1.64 €,4428176.7007125,135787.53426665
46,Avenue Edouard Herriot,CAHORS,46000,1.80 €,1.05 €,1.90 €,1.63 €,4443600,155200
46,Chemin des Gaulies,PRAYSSAC,46220,1.86 €,1.05 €,1.88 €,1.70 €,4450200,118600
46,RD 811,ESPERE,46090,1.78 €,1.05 €,1.85 €,1.63 €,4451000,137300
46,32 impasse du coulabio,Tour-de-Faure,46330,1.85 €,,1.89 €,1.66 €,4447076.8062997,168687.78365108
46,ROUTE DE FUMEL,PRAYSSAC,46220,1.86 €,1.13 €,1.88 €,1.70 €,4450500,117500
46,Lieu-dit le moulin de Pleysse,Montcuq,46800,,,1.89 €,1.64 €,4434247,120685
46,Route de Gramat,LABASTIDE-MURAT,46240,,,1.90 €,1.65 €,4464971.013,157080.923
46,15 rue Saint Georges,Figeac,46100,1.79 €,,1.88 €,1.65 €,4460600,201300
46,AVENUE GAMBETTA,Gourdon,46300,1.81 €,,1.89 €,1.66 €,4473900,138900
