Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
72,RN 23 - AERODROME,LE MANS,72100,1.91 €,1.00 €,1.99 €,1.85 €,4794800,19500
72,A11 - AIRE SARTHE SARGE LE MANS SUD,Sargé-lès-le-Mans,72190,1.99 €,1.27 €,,1.99 €,4805508.6609731,25282.942866116
72,3 rue du Perche,Saint-Cosme-en-Vairais,72110,1.91 €,,1.96 €,1.85 €,4827700,46100
72,AUT A11 AIRE DE LA FERTE BERNARD,Villaines-la-Gonais,72400,2.28 €,,2.40 €,2.21 €,4812496.4192082,62210.350597264
72,Avenue Georges Duhamel,Le Mans,72000,1.89 €,1.00 €,1.97 €,1.83 €,4802762.387,18186.484
72,44 Rue de Bonnétable,LE MANS,72000,1.99 €,,1.99 €,1.92 €,4801766.91221,21886.2233456
72,9936 AVENUE DE TALHOUET,LE LUDE,72800,1.99 €,,1.99 €,1.93 €,4764673.6389553,14561.086615973
72,87 Avenue de la Forêt,BONNETABLE,72110,,,,1.93 €,4817800,43700
72,2 AVENUE DU POIRIER ROUGE,La Chapelle-d'Aligné,72300,,,,1.83 €,4773190.6524016,-23805.428567193
72,LA MALADRERIE,La Chartre-sur-le-Loir,72340,1.90 €,,1.98 €,1.83 €,4774000,58300
72,33 avenue du 14 juillet,Mayet,72360,1.93 €,,1.99 €,1.86 €,4776200,27500
72,1 Rue Nationale,BOULOIRE,72440,1.99 €,,1.99 €,1.93 €,4797500,54600
72,LE PETIT ERABLE  ROUTE DE LAVAL,Sablé-sur-Sarthe,72300,1.91 €,1.00 €,1.99 €,1.84 €,4785634.4215874,-36064.983612302
72,45 RUE DU MANS,Maresché,72170,,,,1.87 €,4821848.0268999,13023.386375426
72,47 rue du bal de braye,Besse sur braye,72310,,,,1.94 €,4783000,75000
72,284 Avenue Léon Bollée,Le Mans,72000,1.89 €,,1.95 €,1.83 €,4799740,22799
72,Avenue de Bönen,MULSANNE,72230,,,1.97 €,1.85 €,4791400,24400
72,Route du Mans,LUCEAU,72500,1.87 €,,1.93 €,1.82 €,4770600,40600
72,LA MASSONNIERE,MONCE EN BELIN,72230,1.86 €,1.00 €,,1.84 €,4789790.0434473,19225.037091675
72,RN 157 - LE RELAIS DE LA LANDE,TRANGé,72650,1.99 €,,1.99 €,1.93 €,4802100,10800
72,3 rue la croix beudet,Mayet,72360,,,2.00 €,1.90 €,4775700,27200
72,LA VOIE-RD1,La Ferté-Bernard,72400,1.90 €,,1.96 €,1.82 €,4817800,66300
72,Route de la Flèche,SABLé-SUR-SARTHE,72300,1.90 €,,,1.82 €,4783052,-31316
72,cc rue des erables,Sougé-le-Ganelon,72130,1.83 €,,1.95 €,1.80 €,4831700,-2500
72,146 AVENUE DU DR JEAN MAC,LE MANS,72100,1.92 €,,1.99 €,1.86 €,4798000,22100
72,Grande Rue,SAVIGNé-L'ÉVêQUE,72460,,,1.97 €,1.88 €,4807600,29700
72,Lieu-dit Le Grand Pin,Changé,72560,1.90 €,,1.97 €,1.82 €,4798100,27800
72,ROUTE BELLEME,MAMERS,72600,1.86 €,,1.99 €,1.79 €,4835100,38600
72,ROUTE DU MANS,SAINT-RéMY-DE-SILLé,72140,1.90 €,,1.99 €,1.81 €,4818124.38775,-12340.4748948
72,RUE HENRI DE NAVARRE,Beaumont-sur-Sarthe,72170,1.88 €,,1.96 €,1.82 €,4822900,12800
72,Avenue Jean Monnet,SABLE-SOLESMES,72300,1.99 €,,1.99 €,1.92 €,4783500,-29800
72,LES SABLONNIERES,Bessé-sur-Braye,72310,,,1.99 €,1.83 €,4784200,75600
72,AVENUE PIERRE BRULE,LA FERTé-BERNARD,72400,1.91 €,,1.97 €,1.83 €,4818200,66200
72,162  AVENUE BOLLEE,LE MANS,72000,1.90 €,1.03 €,1.98 €,1.84 €,4799700,21800
72,129 RUE NATIONALE,BOULOIRE,72440,,,1.97 €,1.82 €,4797200,55600
72,7 Rue Henri Dunant,La Flèche,72200,1.93 €,1.03 €,1.98 €,1.85 €,4770100,-5600
72,AUT A28 - AIRE DE SARTHE TOURAINE,DISSAY-SOUS-COURCILLON,72500,2.29 €,,2.40 €,2.15 €,4765100,46900
72,Rue du Mans,SABLé-SUR-SARTHE,72300,1.90 €,1.00 €,1.99 €,1.82 €,4783800,-30000
72,zone artisanale Prairie des Moulins,SAINTE-JAMME-SUR-SARTHE,72380,1.90 €,,1.97 €,1.82 €,4814500,17000
72,314 AV RHIN ET DANUBE,LE MANS,72000,1.90 €,,1.98 €,1.84 €,4802300,18300
72,362 AVENUE RHIN ET DANUBE,LE MANS,72000,,1.32 €,2.10 €,,4802700,18100
72,2 AVENUE DE VENDOME,Saint-Calais,72120,,,,2.06 €,4791700,75200
72,ROUTE DE SILLE,BRûLON,72350,1.99 €,,1.99 €,1.94 €,4797400,-23100
72,LE SOLEIL,ÉCOMMOY,72220,1.90 €,,1.97 €,1.82 €,4784073.2388504,26260.409465559
72,La Grange  Route de Loué,Mareil-en-Champagne,72540,1.90 €,1.02 €,1.97 €,1.84 €,4798800,-16300
72,66 Avenue Olivier Heuzé,Le Mans,72000,1.90 €,1.04 €,1.96 €,1.84 €,4799687,17957
72,AUT A 11 - AIRE DE PARCE OUEST,Parcé-sur-Sarthe,72300,2.27 €,,2.39 €,2.14 €,4780700,-16700
72,ROUTE DES MOLLANS,La Flèche,72200,1.93 €,1.03 €,1.98 €,1.85 €,4770100,-9400
72,Route de Bonnetable,LE MANS,72000,1.86 €,,1.92 €,1.77 €,4802204.29324,22750.4234673
72,ROUTE DE LAVAL,LE MANS,72000,,,1.99 €,1.84 €,4801700,14200
72,route de LAVAL,Sablé-sur-Sarthe,72300,1.91 €,,1.99 €,1.84 €,4785200,-35300
72,22 Avenue Nationale,ARNAGE,72230,2.06 €,1.06 €,2.16 €,1.97 €,4793400,18700
72,15 Rue Mohain,MAROLLES-LES-BRAULTS,72260,1.90 €,,1.99 €,1.84 €,4825400,31400
