Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
06,Boulevard Carnot,Le Cannet,06110,1.83 €,,1.93 €,1.69 €,4357174.237,701624.364
06,Avenue de Fréjus,Mandelieu-la-Napoule,06210,1.78 €,,1.97 €,1.63 €,4353400,693400
06,606 boulevard du mercantour,Nice,06200,1.81 €,,1.91 €,1.65 €,4373000,718600
06,976 avenue rhin et danube,vence,06140,1.83 €,,1.96 €,1.73 €,4372518.54,709624.81
06,20 Boulevard Maréchal Leclerc,Antibes,06600,1.90 €,1.11 €,1.98 €,1.75 €,4357400,712400
06,81 AV. DE LA GARE CD 36,Cagnes-sur-Mer,06800,1.91 €,,1.99 €,1.75 €,4366223,714933
06,Route de Nice,LE ROURET,06650,1.85 €,,1.94 €,1.72 €,4367290.33299,699413.645217
06,2 avenue Charles David,Levens,06670,,,2.06 €,1.87 €,4385600,722700
06,19-21 BD VALLOMBROSA,CANNES,06400,1.99 €,,2.11 €,1.78 €,4355232.5942827,700576.91447831
06,PONT GARIGLIANO,NICE,06300,1.90 €,1.15 €,,1.76 €,4373200,728600
06,Route de Grenoble,Nice,06200,1.83 €,,1.91 €,1.66 €,4375900,720000
06,140 Av. Francis Tonner,CANNES,06150,1.87 €,1.09 €,1.97 €,1.70 €,4355000,697000
06,26 AVENUE DE CANNES,CAGNES SUR MER,06800,1.92 €,1.13 €,2.00 €,1.73 €,4365392.5860697,714686.45222402
06,480  av. du Général De Gaulle,LE CANNET,06110,,1.18 €,,1.68 €,4356943.56619,699586.761565
06,Aéroport Nice Côte d'Azur,Nice,06200,1.91 €,1.21 €,1.92 €,1.76 €,4366500,720100
06,56 AVENUE DU DR PICAUD,CANNES LA BOCCA,06150,1.93 €,,2.00 €,1.75 €,4355060,699230
06,91  route Val des Castagnins,MENTON,06500,,1.05 €,1.94 €,1.75 €,4378000,748200
06,53 AVENUE DU VAL FLEURI,Cagnes-sur-Mer,06800,1.92 €,1.13 €,1.99 €,1.76 €,4366500,717100
06,AUTOROUTE A8 - AIRE DE BRÉGUIERES SUD,MOUGINS,06250,1.96 €,1.25 €,1.99 €,1.80 €,4358400,702500
06,518 Route de la Mer,BIOT,06410,,,2.00 €,1.76 €,4362474,710244
06,63 BOULEVARD GORBELLA,Nice,06100,1.97 €,,2.07 €,1.84 €,4372385,725579
06,46 Avenue Franklin Roosevelt,Le Cannet,06110,1.75 €,,1.86 €,1.60 €,4357260,700060
06,Rue Nicolas Aussel,ANTIBES,06160,1.89 €,1.14 €,,1.73 €,4357900,711100
06,CHEMIN DE L'ORME,Grasse,06130,1.79 €,1.09 €,1.85 €,1.64 €,4365200,694600
06,ROUTE DE CAGNES,LA GAUDE,06610,1.92 €,,1.94 €,1.76 €,4371764.8206695,715224.85398704
06,Chemin du Darbousson,VALBONNE,06560,,,1.86 €,1.62 €,4364500,704900
06,93 ROUTE DE TURIN RN 204,NICE,06300,1.79 €,,1.89 €,1.65 €,4372000,728600
06,1750 CHEMIN SAINT BERNARD,VALLAURIS,06220,1.75 €,1.09 €,1.85 €,1.60 €,4359300,705700
06,Avenue Francis Tonner,CANNES,06150,1.79 €,1.05 €,1.89 €,1.64 €,4355000,697000
