Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
50,29 Le Bourg,La Lande-d'Airou,50800,1.99 €,0.89 €,,1.98 €,4881600,-129000
50,25  rue de l'hotel saint denis,GAVRAY,50450,,,2.04 €,1.97 €,4891277,-135262
50,2F Route de DENNEVILLE,DIGOSVILLE,50110,,,2.11 €,1.98 €,4965345.9148478,-154932.46887909
50,1214 Avenue de Paris,Saint-Lô,50000,1.93 €,0.90 €,2.00 €,1.97 €,4911630.1972112,-105833.12301737
50,Avenue de Normandie,Cherbourg-Octeville,50130,1.94 €,,2.11 €,1.94 €,4962600,-162800
50,ZI PORTUAIRE DES MIELLES,Tourlaville,50110,1.94 €,,2.08 €,1.94 €,4964500,-159900
50,10 Avenue Amiral Lemonnier,Cherbourg-Octeville,50100,,,,,4963442,-161233
50,1 Rue Jules Labiche,SOURDEVAL,50150,,,,,4872613,-91975
50,2  AVENUE DE VERDUN,COUTANCES,50200,1.83 €,0.88 €,1.96 €,1.90 €,4903827,-144603
50,Parc Mairie Gardin,Beaumont-Hague,50440,1.94 €,,,1.92 €,4966203,-183636
50,ROUTE NATIONALE 13,Les Veys,50500,1.99 €,,2.08 €,2.03 €,4930500,-115600
50,39 Boulevard de l'Est,Tourlaville,50110,1.91 €,,2.02 €,1.99 €,4963500,-158700
50,Route de Montebourg - La Victoire,VALOGNES,50700,1.89 €,,1.97 €,1.92 €,4950200,-145600
50,41b Rue des Frères Fremine,Bricquebec-en-Cotentin,50260,1.96 €,,2.04 €,2.00 €,4947300,-162800
50,Avenue de la division Leclerc,Coutances,50200,1.83 €,0.85 €,1.96 €,1.90 €,4906200,-143700
50,Route de Paris,Saint-Hilaire-du-Harcouët,50600,1.86 €,,1.99 €,1.94 €,4857375,-108262
50,Route des Fourches,CHERBOURG-OCTEVILLE,50100,1.94 €,0.85 €,2.04 €,1.92 €,4963906.9,-164776.2
50,147 RUE JOSEPH CUGNOT,Saint-Lô,50000,1.90 €,,,1.97 €,4911200,-105100
50,AUTOROUTE A84 - AIRE DU MONT SAINT MICHEL,Saint-Aubin-de-Terregatte,50240,1.92 €,0.87 €,2.03 €,1.98 €,4858491,-132638
50,ZONE DE BEAUFOUR,Saint-James,50240,,,2.00 €,1.92 €,4852100,-133900
50,Route d'Avranches,SAINT-PAIR-SUR-MER,50380,1.92 €,,2.05 €,2.00 €,4881426.145,-154426.677
50,RUE DE LA SALINE,Cherbourg-octeville,50100,1.85 €,,1.96 €,1.88 €,4963500,-161500
50,Rond point des Estuaires,VILLEDIEU-LES-POêLES,50800,1.95 €,0.82 €,,2.01 €,4884741,-120906
50,1 Boulevard de Verdun,Valognes,50700,1.93 €,,2.04 €,1.99 €,4950664,-146499
50,Rue de la Gare,DONVILLE-LES-BAINS,50350,1.95 €,,2.12 €,2.02 €,4884300,-158500
50,LA VERTE CAMPAGNE,SAINT-HILAIRE-DU-HARCOUëT,50600,,,2.24 €,2.08 €,4857600,-108800
