Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
24,Route de Bordeaux,Bergerac,24100,1.83 €,0.96 €,1.93 €,1.77 €,4483492.4988994,44823.906051395
24,Route de Bergerac,VERGT,24380,1.91 €,1.00 €,1.98 €,1.85 €,4502300,71100
24,18 place de l'ancien temple,Sigoulès-et-Flaugeac,24240,,,2.00 €,1.86 €,4475739.933224,41106.265064555
24,Lieu dit chez Noillac,Vieux-Mareuil,24340,,,2.00 €,1.87 €,4544700,46700
24,CD 91,Piégut-Pluviers,24360,1.93 €,,1.99 €,1.85 €,4562000,69900
24,94 Avenue de la Beauronne,Agonac,24460,,,,1.96 €,4529276.92,75169.24
24,Route de BERGERAC,Sarlat-la-Canéda,24200,1.92 €,0.98 €,,1.83 €,4487600,121300
24,Avenue de Périgueux,LA COQUILLE,24450,,,1.97 €,1.83 €,4553900,97600
24,Bld De Lattre De Tassigny,SAINT-ASTIER,24110,1.87 €,,,1.78 €,4514511.7111667,52366.181364996
24,Route de Limoges,TRéLISSAC,24750,1.84 €,0.95 €,1.93 €,1.77 €,4520000,78500
24,8 boulevard Jean Moulin,Bergerac,24100,1.96 €,1.20 €,1.98 €,1.86 €,4485570.5921094,47879.478719295
24,Avenue Winston Churchill,COULOUNIEIX-CHAMIERS,24660,,,1.97 €,1.82 €,4517100,68900
24,59 Avenue d'Aquitaine,La Roche-Chalais,24490,1.89 €,1.00 €,1.96 €,1.83 €,4514600,500
24,27  Avenue André Maurois,BRANTôME,24310,,,,1.93 €,4536400,65300
24,Zone des Reaux,Vélines,24230,,,1.98 €,1.88 €,4485201.45,10365.84
24,113 route du perigord pourpre,Montcaret,24230,,,,1.93 €,4485323.5666555,6675.0467764963
24,54 avenue Michel Grandou,Trélissac,24750,1.95 €,,,1.87 €,4519000,73600
24,Autoroute A89 - Aire de Manoire,Saint-Laurent-sur-Manoire,24330,1.92 €,1.02 €,2.00 €,1.84 €,4515100,79900
24,plaine de bretou,EYMET,24500,,,2.00 €,1.86 €,4467400,40500
24,AVENUE DE LA LIBERATION,LE BUGUE,24260,1.95 €,,2.02 €,1.87 €,4491400,92500
24,RN 89 au 50 rue de la paix,SAINT-MÉDARD-DE-MUSSIDAN,24400,,,,1.80 €,4503300,32100
24,8 Avenue de Selves,SARLAT LA CANEDA,24200,1.99 €,,1.99 €,1.93 €,4490000,121200
24,57 rue d'Aquitaine,Savignac-Lédrier,24270,,,2.00 €,1.88 €,4539600,120900
24,Avenue de Monpazier,BEAUMONT-DU-PéRIGORD,24440,,,1.99 €,1.86 €,4475319,77283
24,14 rue Durou,Bergerac,24100,1.91 €,1.00 €,1.99 €,1.80 €,4485800,48200
24,837 Avenue de la Libération,Thenon,24210,,,1.96 €,1.93 €,4514078.2119426,106991.89888855
24,rue du 11 juin 1944,Saint-Médard-de-Mussidan,24400,1.89 €,,1.98 €,1.80 €,4504100,35200
24,18/20 Cours Fénelon,PERIGUEUX,24000,2.01 €,,2.11 €,1.90 €,4518200,72100
24,ROUTE DE BORDEAUX,Neuvic,24190,,,1.96 €,1.83 €,4509700,47500
24,68 avenue paul langevin,lalinde,24150,,,2.20 €,2.00 €,4483600,72900
24,1403 ROUTE DES RESISTANTS,LA ROQUE GAGEAC,24250,1.99 €,,,1.96 €,4481400,121200
24,127 Rue du Limousin,LANOUAILLE,24270,,,,1.98 €,4539400,114000
24,192 Route de Lyon,Boulazac,24750,1.91 €,,1.99 €,1.84 €,4518000,74600
24,le bourg sud,prigonrieux,24130,,1.05 €,2.00 €,1.83 €,4485368.8478137,40039.274488292
24,24 av de la Forge,Les Eyzies,24620,,,,1.92 €,4493500,102000
24,32 AVENUE CHARLES DE GAULLE,THIVIERS,24800,,,1.97 €,1.82 €,4542456.1452651,92805.331392518
24,Route de Brive,Sarlat-la-Canéda,24200,,,1.99 €,1.87 €,4492000,120600
24,Route de Mussidan,RIBéRAC,24600,1.89 €,1.00 €,1.96 €,1.83 €,4523800,34800
24,7 ROUTE DE BERGERAC,LE BUISSON DE CADOUIN,24480,,,2.02 €,2.10 €,4484674.542214,89910.605727465
24,740 avenue des jardins,TERRASSON,24120,1.93 €,,1.99 €,1.85 €,4512400,132100
24,154 avenue de la roque,CREYSSE,24100,1.84 €,1.00 €,1.93 €,1.77 €,4484900,53800
24,Le Mayne,Saint-Martial-d'Albarède,24160,1.91 €,,1.98 €,1.83 €,4533308,104339
24,Les Peyrieres,Négrondes,24460,,,1.99 €,1.96 €,4534400,86900
24,16  Rue des Fleurs,Chancelade,24650,1.86 €,,1.93 €,1.80 €,4520000,66800
24,1 place mianne,Le Buisson-de-Cadouin,24480,,,1.99 €,1.97 €,4484600,91100
24,Route de Sainte Alvère,BERGERAC,24100,1.89 €,,1.99 €,1.82 €,4485335.52754,51377.9259572
24,2161 ROUTE DE LA VALLEE,Tursac,24620,,,,1.85 €,4497000,104400
24,5 Avenue du Commandant Pinson,LA FORCE,24130,,,2.00 €,1.87 €,4487000,37700
