Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
77,Rue Georges Claude,Meaux,77100,1.89 €,1.14 €,1.97 €,1.84 €,4895848,291730
77,AUTOROUTE A5B - AIRE DE GALANDE-LA-MARE-LAROCHE,REAU,77550,2.02 €,1.26 €,2.13 €,1.98 €,4862570.47881,263006.7987
77,Avenue James de Rothschild,FERRIèRES-EN-BRIE,77164,1.83 €,,1.91 €,1.80 €,4882700,270400
77,AUTOROUTE A4 - AIRE DE FERRIÈRES,Bussy-Saint-Georges,77600,1.90 €,,1.99 €,1.86 €,4882914.88545,274177.363716
77,ROUTE DE PARIS,Villeneuve-sous-Dammartin,77230,1.95 €,,2.06 €,1.92 €,4903300,263500
77,CARREFOUR DE LA LIBERATION,Fontainebleau,77300,1.98 €,1.19 €,2.08 €,1.99 €,4840800,268800
77,Rue Charles FABRY,COMBS-LA-VILLE,77380,1.90 €,1.10 €,1.96 €,1.85 €,4864900,256300
77,ROUTE D'OZOIR,Roissy-en-Brie,77680,1.86 €,,1.95 €,1.81 €,4878203,265712
77,17 Avenue des Américains,Varreddes,77910,,,,1.92 €,4900096,292102
77,73 Avenue du Président Franklin Roosevelt,Avon,77210,1.94 €,1.14 €,2.02 €,1.98 €,4841650.2022012,272334.52057242
77,N104 LA FRANCILIENNE - AIRE PRE DE L'AULNES ET DE LA GDE MAR,PONTAULT COMBAULT,77340,1.86 €,1.15 €,1.94 €,1.84 €,4881623,262299
77,42 AVENUE FRANKLIN ROOSEVELT,LA FERTE SOUS JOUARRE,77260,1.98 €,1.15 €,2.09 €,1.92 €,4894367.6592765,312121.15997505
77,Route de Fontainebleau,Nangis,77370,1.89 €,1.10 €,1.94 €,1.84 €,4855000,300000
77,17 Place de l'Europe,Bailly-Romainvilliers,77700,,,1.97 €,1.87 €,4885000,281900
77,RN 330 - ROUTE DE MEAUX,ST SOUPPLETS,77165,1.98 €,1.16 €,2.09 €,1.94 €,4903354,280467
77,PARC D'ACTIVITES PRES DES BOURDEAUX,FAREMOUTIERS,77515,,,2.00 €,1.90 €,4880000,298600
77,Avenue de la Voulzie,Provins,77160,1.87 €,1.10 €,1.98 €,1.81 €,4854835,329230
77,Rte Nationale 6 centre cial Boissénart,CESSON,77240,1.89 €,,1.97 €,1.85 €,4858695.5815752,259645.65667331
77,Autoroute du Soleil - AIRE DE NEMOURS OUEST,NEMOURS,77140,2.12 €,,2.25 €,2.17 €,4826170.1654868,272203.66668701
77,AVENUE DES LYS,Dammarie-les-Lys,77190,1.89 €,,1.96 €,1.84 €,4851800,262800
77,2 RUE JEAN COCTEAU,CHAMPAGNE-SUR-SEINE,77430,1.86 €,,1.94 €,1.84 €,4839575,279896
77,AIRE DE CHANGIS-SUR-MARNE A4,Ussy sur marne,77260,1.95 €,,2.04 €,1.91 €,4896384,305281
77,Avenue des Pyramides,CHAMPS-SUR-MARNE,77420,1.89 €,1.14 €,1.96 €,1.82 €,4885300,258400
77,AIRE DE ACHERES EST A6,URY,77760,1.93 €,1.24 €,2.02 €,1.89 €,4836211.8139042,257441.44437015
77,Aire de Ussy sur Marne - Autoroute A4,Ussy sur Marne,77260,1.99 €,,2.08 €,1.95 €,4897049.7,306410.6
77,86 Avenue de Verdun,TRILPORT,77470,,,2.00 €,1.89 €,4895800,295900
77,Place Robert Schuman,Roissy-en-Brie,77680,1.86 €,,1.95 €,1.81 €,4879000,264200
77,5 Rue Abel Prouharam,COULOMMIERS,77120,1.86 €,,1.94 €,1.83 €,4881449.541,308085.499107
77,22 RUE DU POIRIER DE FROMIE,MONTIGNY SUR LOING,77690,1.91 €,1.10 €,1.98 €,1.97 €,4833563.3428284,273222.1899292
77,CENTRE COMMERCIAL BAY 2,COLLéGIEN,77090,1.89 €,1.10 €,1.93 €,1.82 €,4883844.6872,266161.659318
77,ZAC PRE ANCEL,REBAIS,77510,,,1.95 €,1.92 €,4884615,323114
77,RN 105,Forges,77130,1.98 €,,2.09 €,1.96 €,4840200,293600
77,2 Avenue de la Gare,Moret-Loing-et-Orvanne,77250,1.86 €,1.10 €,1.94 €,1.84 €,4837548.2965623,281138.95223141
77,AV MAURICE DAUVERGNE,LE MEE SUR SEINE,77350,1.90 €,,1.97 €,1.84 €,4854301.39632,263315.746474
77,Rue de l'Avenir,LA CHAPELLE-LA-REINE,77760,,,1.98 €,1.91 €,4832400,257700
77,4 Boulevard Olof Palme,ÉMERAINVILLE,77184,1.93 €,1.10 €,1.99 €,1.90 €,4880900,261500
77,82 AVENUE DE LA LIBERATION,BRAY-SUR-SEINE,77480,,,1.93 €,1.82 €,4841421,324178
77,Route Nationale 3,CLAYE-SOUILLY,77410,1.90 €,1.16 €,2.00 €,1.84 €,4894400,268100
77, Rue Gallieni,Chartrettes,77590,,,1.98 €,1.97 €,4848338,269601
77,42 ALLÉE JEAN LOUIS BARRAULT,MEAUX,77100,1.90 €,,,1.90 €,4895400,291200
77,BOULEVARD DIDEROT,MONTEREAU-FAULT-YONNE,77130,1.85 €,,1.97 €,1.82 €,4839853.91824,295158.027595
77,Rue des Bordes,Saint-Fargeau-Ponthierry,77310,1.99 €,,2.09 €,1.93 €,4853167,253511
77,936 AVENUE DU GENERAL LECLERC,Dammarie-les-Lys,77190,1.89 €,1.13 €,1.96 €,1.84 €,4851881.2310534,265430.5293398
77,RD 606 - SENS PROVINCE PARIS,ECUELLES,77250,1.88 €,,1.97 €,1.83 €,4836300,285700
77,16 AV GENERAL DE GAULLE,PROVINS,77160,1.95 €,1.20 €,2.05 €,1.89 €,4855900,328600
77,5 rue des Grands Champs,LE CHÂTELET-EN-BRIE,77820,1.88 €,,1.96 €,1.84 €,4849200,279600
77,AIRE DE VILLEVAUDE AUTOROUTE A 104,Claye-Souilly,77410,1.93 €,,2.05 €,1.90 €,4890500,264400
77,RN4 route de Pecy  lieu dit Lugins,Vaudoy-en-Brie,77141,2.00 €,1.17 €,2.05 €,1.94 €,4868409.14,308716.27
77,zac du clos rose,MONTEVRAIN,77144,1.99 €,,2.10 €,1.93 €,4885300,276100
77,AERODROME DE MITRY,COMPANS,77290,,,,2.00 €,4899563.6952778,264910.95556006
77,46 Rue de Villeparisis,MITRY-MORY,77290,,,1.98 €,1.84 €,4898100,272000
77,10 AVENUE DU GENERAL DE GAULLE,NEMOURS,77140,1.97 €,1.11 €,2.08 €,1.94 €,4826687,270651
77,115 Avenue du Maréchal Leclerc,SOUPPES-SUR-LOING,77460,1.97 €,,2.08 €,1.96 €,4818300,273600
77,CHEMIN DE COMPANS,Claye-Souilly,77410,2.00 €,1.15 €,2.10 €,1.93 €,4895300,266600
77,RN7 BP23,Dammarie-les-Lys,77190,1.89 €,1.14 €,1.95 €,1.80 €,4850100,257900
77,28  rue du Général De Gaulle,NEMOURS,77140,1.83 €,1.10 €,,1.80 €,4826800,271300
77,les Chaumes RN 19,MORMANT,77720,1.87 €,,,1.86 €,4860840,289009
77,Route de Vémars,MOUSSY-LE-NEUF,77230,,,1.95 €,,4906414.392,259786.578
77,Avenue Roger Salengro,VILLEPARISIS,77270,1.89 €,,1.98 €,1.84 €,4895355.016926,260687.66680146
77,02 AVENUE CHARLES DE GAULLE,Esbly,77450,,,,,4889500,281000
77,20 Avenue de Claye,CHELLES,77500,2.01 €,,2.13 €,1.96 €,4888200,260000
77,RN 7,Grez-sur-Loing,77880,1.98 €,,2.09 €,1.95 €,4832226.8783119,268629.12924282
77,AVENUE ST GERMAIN DES NOYERS,Saint-Thibault-des-Vignes,77400,1.94 €,,2.06 €,1.90 €,4886500,267600
77,RN 7,Bourron-Marlotte,77780,1.89 €,1.10 €,1.96 €,1.84 €,4832823.0549342,268730.32082164
77,25 Rue Pasteur,Brie-Comte-Robert,77170,1.92 €,,1.98 €,1.86 €,4869424,261673
77, Boulevard Victor Hugo,GRETZ-ARMAINVILLIERS,77220,1.86 €,,1.93 €,1.85 €,4873913,272084
77,Avenue de Rebais,LA FERTé-SOUS-JOUARRE,77260,1.86 €,,1.96 €,1.80 €,4893700,313500
77,RN 34,Mouroux,77120,,,2.03 €,1.95 €,4881675,305222
77,ROUTE DE LORREZ,ÉGREVILLE,77620,,1.06 €,1.97 €,1.80 €,4817700,287200
77,RD 619,Yèbles,77390,1.90 €,1.10 €,1.99 €,1.84 €,4863600,276900
77,AV DES HYVERNAUX - RD 51,LESIGNY,77150,1.89 €,,1.97 €,1.84 €,4873900,260700
77,17 allée des rousselets Zac des vallières,THORIGNY-SUR-MARNE,77400,1.90 €,1.07 €,1.95 €,1.84 €,4889600,271600
77,44 Boulevard du Maréchal Foch,Fontainebleau,77300,1.97 €,,2.08 €,1.96 €,4841700,270800
77,15 Avenue du Maréchal de Lattre de Tassigny,Provins,77160,1.87 €,1.10 €,,1.81 €,4855900,330900
77,Avenue Sylvie - ZI Belle-Ile,CHELLES,77500,1.88 €,,1.95 €,1.84 €,4886900,259000
77,119 AV DU GENDARME CASTERMANT,CHELLES,77500,2.00 €,1.14 €,2.11 €,1.94 €,4887820,260782
77,1 boulevard Charles de GAULLE,MONTéVRAIN,77144,1.88 €,1.10 €,1.95 €,1.83 €,4887700,275100
77,62 ROUTE DE PARIS / RN 34,Saint-Germain-sur-Morin,77740,1.89 €,1.13 €,1.97 €,1.83 €,4888400,284100
77,1 rue JM JACQUARD,NEMOURS,77140,1.86 €,,1.93 €,1.81 €,4826900,270100
77,Rue du 8 Mai 1945,Othis,77280,,1.10 €,1.97 €,1.84 €,4907300,267100
77,ZAC DES VIGNES,CRéGY-LèS-MEAUX,77124,,,1.96 €,1.84 €,4897462,287015
77,38  RUE DE PARIS,SOURDUN,77171,1.88 €,1.10 €,1.98 €,1.82 €,4853500,336100
77,11 av Roland Moréno,Chauconin-Neufmontiers,77124,1.88 €,1.10 €,1.96 €,1.83 €,4896200,286200
77,6 A 10 AV CHARLES ROUXEL,Pontault-Combault,77340,1.87 €,,1.95 €,1.83 €,4879836,260505
77,12 Rue Gustave Eiffel,BRIE-COMTE-ROBERT,77170,1.90 €,,1.97 €,1.85 €,4870300,260000
77,4 Avenue Pierre Mendès France,NOISIEL,77186,1.97 €,,2.08 €,1.92 €,4884100,262000
77,84 Rue François de Tessan,OZOIR-LA-FERRIèRE,77330,1.87 €,,1.95 €,1.81 €,4875700,270000
77,Rue Bertaux,FONTENAY-TRéSIGNY,77610,1.84 €,,1.95 €,1.80 €,4871000,286000
77,RN 5 BIS RTE DE NANGIS (ANGLE),MELUN,77000,1.98 €,,2.09 €,1.94 €,4854100,267800
77,2 Rue du Montpensier,DONNEMARIE-DONTILLY,77520,1.84 €,,1.92 €,1.80 €,4847600,314000
77,5 RUE DU GÉNÉRAL LECLERC,Brie-Comte-Robert,77170,1.90 €,1.18 €,1.97 €,1.85 €,4870100,260100
77,8 avenue du 8 mai 1945,SAVIGNY-LE-TEMPLE,77176,2.00 €,1.15 €,2.11 €,1.95 €,4859700,257300
77,7 rue Marguerite Perey,Fontenay-Trésigny,77610,1.84 €,1.09 €,1.95 €,1.81 €,4869800,288900
77,RN 19   AVENUE DU GENERAL DE GAU,NANGIS,77370,1.89 €,,1.97 €,1.85 €,4855900,302100
77,Avenue de la Courtillière,SAINT-THIBAULT-DES-VIGNES,77400,1.90 €,1.10 €,1.95 €,1.84 €,4886900,267500
77,544 Avenue André Ampère,DAMMARIE-LES-LYS,77190,1.86 €,,1.92 €,1.80 €,4850900,260400
77,Avenue du Gendarme Castermant,CHELLES,77500,,,1.93 €,1.83 €,4887800,260900
77,36 Avenue de Fontainebleau,La Chapelle-la-Reine,77760,,,,1.95 €,4832000,257500
77,127 Avenue du général leclerc,LAGNY-SUR-MARNE,77400,,,,,4887100,268300
77,Centre commercial de la Fontaine,LéSIGNY,77150,1.88 €,1.16 €,1.97 €,1.83 €,4874400,261200
77,11 Rue de Paris,Torcy,77200,1.98 €,,2.09 €,1.94 €,4885100,265600
77,RD 606,MORET-LOING-ET-ORVANNE,77250,1.88 €,1.10 €,1.97 €,1.83 €,4836400,285300
77,RN 2 ROUTE DE SOISSONS,ROUVRES,77230,1.92 €,1.15 €,1.98 €,1.85 €,4907014.23478,271523.931506
77,CHEMIN DÉPARTEMENTAL 51 - AIRE DES BRÉCHÈRES,Pontault-Combault,77340,1.96 €,1.15 €,2.07 €,1.95 €,4879236,261848
77,Avenue Jean Monnet,BOISSISE-LA-BERTRAND,77350,1.89 €,1.10 €,1.94 €,1.85 €,4854000,261200
77,127 Avenue du Général Leclerc,LAGNY SUR MARNE,77400,1.89 €,,1.97 €,1.84 €,4887100,268300
77,48 Avenue de Meaux,MELUN,77000,1.98 €,,2.09 €,1.95 €,4855000,266600
77,RN 3 ZI DU HAINAULT.,SEPT-SORTS,77260,1.88 €,1.10 €,1.94 €,1.82 €,4893700,310400
77,61 AVENUE DE L'ENSOLEILLEE,COUILLY-PONT-AUX-DAMES,77860,1.86 €,,1.94 €,1.83 €,4887259.9637191,287188.65694261
77,8  route des platanes,Lizy-sur-Ourcq,77440,1.92 €,,1.95 €,1.87 €,4902200,303300
77,334 AVENUE DE LA VICTOIRE,MEAUX,77100,1.89 €,1.14 €,1.97 €,1.84 €,4895742,293791
77,27 ROUTE DE MONTEREAU,Vaux-le-Pénil,77000,1.89 €,1.10 €,1.94 €,1.84 €,4854100,268000
77,44 Route d'Héricy,VULAINES-SUR-SEINE,77870,1.83 €,,1.91 €,1.80 €,4843400,275300
77,AV PRESIDENT SALVADOR ALLENDE,Meaux,77100,1.89 €,,1.97 €,1.84 €,4895700,288500
77,19-29 AV. VICTOR HUGO,COULOMMIERS,77120,1.88 €,1.16 €,1.97 €,1.83 €,4881608.09795,308307.394086
77,30/34 RUE FRANCOIS DE TESSAN,MEAUX,77100,1.89 €,1.14 €,1.97 €,1.84 €,4894903.7155409,287971.54887761
77,1-5 AVENUE DE MELUN,Nanteuil-lès-Meaux,77100,1.89 €,,1.97 €,1.84 €,4895367.37889,289673.896765
77,52 RUE JEAN JAURES,COUBERT,77170,1.98 €,,2.09 €,1.94 €,4866864.8391,269933.066707
77,RUE BELLE ETOILE,LONGPERRIER,77230,,,,,4905238.4371468,266147.67314911
77,RN 104 - CD 51,Émerainville,77184,,,,,4881600,262200
77,Route de la Libération,Tournan-en-Brie,77220,,,,,4873824,277365
77,RN4 LIEUDIT L ERABLE,Ozoir-la-Ferrière,77330,1.99 €,,2.10 €,1.94 €,4876694.3966836,265112.55845881
77,Route de Villevaudé,Villeparisis,77270,,,,,4893700,262300
77,AUTOROUTE A4 - AIRE DE BUSSY ST GEORGES,Bussy-Saint-Georges,77600,1.90 €,,1.99 €,1.86 €,4882949.2394,274003.485613
77,2  AVENUE CHARLES DE GAULLE,ESBLY,77450,1.99 €,1.15 €,2.10 €,1.94 €,4889966,281110
77,32 Rue Pasteur,Souppes-sur-Loing,77460,,,,,4818076,273549
77,BLD DE LA MALIBRAN,Roissy-en-Brie,77680,1.89 €,,1.97 €,1.84 €,4879600,264300
77,1 Avenue Robert Schuman,COUPVRAY,77700,2.03 €,,2.12 €,2.02 €,4887200,279800
77,AVENUE DE STRASBOURG,COULOMMIERS,77120,1.88 €,,1.96 €,1.83 €,4880100,308700
77,Chemin du Berceau,Lorrez-le-Bocage-Préaux,77710,1.87 €,,1.93 €,1.84 €,4825100,287400
77,16 Avenue du Chemin Noir,Lizy-sur-Ourcq,77440,1.87 €,1.10 €,1.94 €,1.81 €,4902663,302167
77,RN 7,ST FARGEAU PONTHIERRY,77310,1.89 €,,1.96 €,1.84 €,4854082.7353741,252209.39606196
77,Boulevard Georges Bidault,Croissy-Beaubourg,77183,1.89 €,1.10 €,1.94 €,1.82 €,4882800,264400
77,Avenue de la Maison-Blanche,LA FERTé-GAUCHER,77320,1.88 €,1.16 €,2.00 €,1.85 €,4878261,329464
77,RN 34,Lagny-sur-Marne,77400,1.88 €,1.12 €,1.97 €,1.83 €,4887700,272900
