Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
11,Route de Quillan,Espéraza,11260,1.60 €,,,1.93 €,4293381,220846
11,RN 113 - 2 AVENUE DU MARECHAL F,LEZIGNAN CORBIERES,11200,1.41 €,,1.53 €,1.74 €,4320000,275000
11,AVENUE CROIX SUD,Narbonne,11100,1.57 €,,1.66 €,1.85 €,4316000,298700
11,88 Avenue Monseigneur de Langle,Castelnaudary,11400,,0.68 €,1.76 €,1.96 €,4331300,196500
11,2 ZONE ARTISANALE LA GARRIGUE,Argeliers,11120,1.60 €,,1.70 €,1.90 €,4325370.0010604,291305.46119169
11,23 AVENUE CAMILLE BOUCHE,Limoux,11300,,0.92 €,,,4305900,221400
11,RN 113,TRèBES,11800,1.60 €,0.95 €,1.69 €,1.94 €,4320300,244300
11,4 Avenue du Minervois,LA REDORTE,11700,1.57 €,0.74 €,1.66 €,1.88 €,4325200,265200
11,69  avenue de Narbonne,SAINT-LAURENT-DE-LA-CABRERISSE,11220,,,,1.85 €,4308700,270300
11,Avenue du Souvenir Français,CARCASSONNE,11000,,,,,4320900,238300
11,AVENUE DU 3ème RPIMA,Carcassonne,11000,,,,,4320700,238600
11,928  Boulevard Général de Gaulle,PORT-LA-NOUVELLE,11210,1.55 €,0.73 €,1.64 €,1.86 €,4301500,305000
11,418 Route d'Ouveillan,Sallèles-d'Aude,11590,1.65 €,,1.75 €,1.96 €,4326400,294800
11,Boulevard du Minervois,Trèbes,11800,1.60 €,0.74 €,1.69 €,1.90 €,4321000,245500
11,zae avenue de la preuilhe,BRAM,11150,,,1.64 €,1.91 €,4324100,210100
11,RN113,CAPENDU,11700,1.76 €,,1.78 €,1.97 €,4318546,255730
11,Lieu dit La Viala,VILLEMOUSTAUSSOU,11620,,,1.78 €,1.98 €,4325200,236100
11,8 Avenue du Président Franklin Roosevelt,CARCASSONNE,11000,,,,,4321712,234696
11,RD 620 Lieu dit la pièce,VILLEGLY,11600,1.72 €,,,1.98 €,4328200,243700
11,LIEU DIT ROC DEL DIE,Capendu,11700,1.60 €,0.74 €,1.69 €,1.90 €,4318807.5466812,256439.00511237
11,Avenue Ernest Ferroul,Peyriac-Minervois,11160,,,1.69 €,1.86 €,4328458.3541238,257478.0754133
11,ZA les Terres Rouges - avenue du Minervois,Villeneuve-Minervois,11160,,,2.06 €,2.12 €,4331400,247000
11,Route de Toulouse,Carcassonne,11000,1.62 €,,1.69 €,1.87 €,4322564,232841
11,AVENUE DES CORBIERES,LéZIGNAN-CORBIèRES,11200,1.60 €,,,1.83 €,4318900,275300
11,82 AVENUE CARNOT,NARBONNE,11100,,,,1.81 €,4319600,301200
11,ld croix de l'ourmet  RN 113,VILLEPINTE,11150,,,1.75 €,1.87 €,4327933.715,209377.15565
11,Aire de service de La Palme Ouest - Sens France Espagne,La Palme,11480,1.75 €,0.90 €,1.83 €,2.05 €,4295058.3379704,296968.21704558
11,ROUTE DEPARTEMENTALE 610,HOMPS,11200,,,,2.00 €,4326500,271800
11,1  impasse des Corbières,MOUTHOUMET,11330,,0.79 €,,2.09 €,4296000,252900
11,Avenue de Narbonne,GRUISSAN,11430,,0.68 €,1.80 €,1.96 €,4310800,309100
11,ROUTE DE CARCASSONNE,Castelnaudary,11400,1.44 €,0.77 €,1.54 €,1.75 €,4331100,197100
11,AIRE DE NARBONNE VINASSAN NORD - A9,SALLES D'AUDE,11110,1.80 €,0.89 €,1.89 €,2.00 €,4321400,309000
11,STATION PIERRE LYS,Quillan,11500,,,,,4287800,218300
11,Avenue de Toulouse,COURSAN,11110,1.59 €,,,1.90 €,4323000,305100
11,RUE DE MARECHAL JUIN,Narbonne,11100,1.56 €,0.74 €,1.71 €,1.88 €,4318083,301410
11,Aire des corbières SUD A61,Capendu,11700,1.73 €,0.88 €,1.83 €,2.03 €,4318529.45,256117.71
11,69 Allée d'Iéna,CARCASSONNE,11000,,,1.78 €,1.94 €,4321500,234500
11,42 Boulevard Jean Jaurès,Carcassonne,11000,,0.95 €,1.89 €,2.10 €,4321600,235500
11,100 chemin de la plaine  station service total,Rouffiac d'Aude,11250,,,,1.82 €,4312400,229400
11,13 Allée d'Iéna,Carcassonne,11000,,,1.60 €,,4321100,234500
11,ROUTE DE LIMOUX RN 118,CARCASSONNE,11000,,0.77 €,,,4319723,232330
11,108 Avenue de Bordeaux,NARBONNE,11100,,0.68 €,1.80 €,1.95 €,4318200,298100
11,14 Avenue Carnot,NARBONNE,11100,,0.68 €,,1.95 €,4319100,300700
11,40 Boulevard Frédéric Mistral,Narbonne,11100,1.58 €,0.77 €,1.66 €,1.84 €,4318600,300300
11,Avenue de la Croix Sud - PL uniquement,Narbonne,11100,,,,1.86 €,4316300,298900
11,La Madeleine,PEZENS,11170,,,,,4325496,226733
11,RD6113,LéZIGNAN-CORBIèRES,11200,,0.68 €,,1.90 €,4320400,278200
11,ZA DE MATEILLE,GRUISSAN,11430,1.58 €,0.74 €,1.67 €,1.86 €,4311800,310400
11,1  rue Georges Guynemer,Limoux,11300,1.57 €,0.89 €,1.68 €,1.88 €,4307300,222300
11,ROUTE NATIONALE 9,ROQUEFORT-DES-CORBIèRES,11540,,0.75 €,1.52 €,,4299200,297100
11,AVENUE HUBERT MOULY,NARBONNE,11100,1.56 €,,1.71 €,1.88 €,4317900,302900
11,LIEUDIT CAP DE FRONTAVENUE DES ROSEAUX,PORT LEUCATE,11370,,,,,4285400,303500
11,Z.I. la Bouriette,CARCASSONNE,11000,1.67 €,,,1.92 €,4320600,231100
11,Avenue Charles Palauqui,PORT-LA-NOUVELLE,11210,,,,,4302268.7351,303224.267817
11,29 ZAE du Peyrou,SIGEAN,11130,1.56 €,0.74 €,1.65 €,1.87 €,4303100,296500
