Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,
86,Rue des Ecoles,BUXEROLLES,86180,1.80 €,,,1.86 €,
86,71 AVENUE DE CHATELLERAULT,Migné-Auxances,86440,1.84 €,,1.95 €,1.90 €,
86,Beaulieu - 2 Avenue de Lafayette,POITIERS,86000,1.90 €,,2.00 €,1.95 €,
86,RN10 - LONGEVE,Dissay,86130,,,2.08 €,2.01 €,
86,AIRE DE CHATELLERAULT-ANTRAN,Antran,86100,2.23 €,,2.34 €,2.16 €,
86,autoroute a10,Jaunay-Clan,86130,null,null,null,null,
86,1 Avenue de l'Europe,Montmorillon,86500,null,null,null,null,
86,15 RUE MARIE CURIE,Vendeuvre-du-Poitou,86380,1.91 €,,2.00 €,1.94 €,
86,109 AV MARECHAL DE LATTRE DE TASSIGNY,CHATELLERAULT,86100,1.88 €,0.85 €,1.97 €,1.95 €,
86,108 Avenue du 8 Mai 1945,POITIERS,86000,,,2.02 €,1.93 €,
86,6 Route de Paris,CHASSENEUIL-DU-POITOU,86360,1.84 €,,1.95 €,1.90 €,
86,Avenue Pasteur,L'ISLE-JOURDAIN,86150,1.90 €,,2.10 €,1.96 €,
86,5 ROUTE DE POITIERS,Mirebeau,86110,1.90 €,,2.00 €,1.97 €,
86,70  avenue John Kennedy,Poitiers,86000,1.95 €,,2.09 €,2.04 €,
86,8 ROUTE DE CHARDONCHAMPS,Migné-Auxances,86440,1.88 €,,1.98 €,1.95 €,
86,63 av Saintonge,Lusignan,86600,1.88 €,0.85 €,2.13 €,1.95 €,
86,59 BIS AVENUE HENRI ROUCHER,CIVRAY,86400,,,,2.08 €,
86,93 Route de Gençay,Poitiers,86000,1.80 €,,1.89 €,1.86 €,
86,ZA DE PEURON 2 RUE ENTREPRENEURS,Chauvigny,86300,2.12 €,,2.25 €,2.15 €,
86,Route Nationale 10 - Lieu-dit la Fosse aux Sables,Les Ormes,86220,,,,1.95 €,
86,23 Avenue Aristide Gigot,LES TROIS-MOUTIERS,86120,1.99 €,,2.10 €,2.02 €,
86,Avenue du Cerisier Noir,NAINTRé,86530,1.90 €,,2.02 €,1.94 €,
86,ZAE DE VAUGENDRON,Vouillé,86190,1.81 €,,1.90 €,1.90 €,
86,Autoroute A10 - Aire de Poitiers Jaunay Clan,Jaunay-Clan,86130,2.20 €,,2.10 €,2.13 €,
86,106 Avenue Victor Hugo,MONTMORILLON,86500,1.88 €,,1.92 €,1.94 €,
86,13 Avenue Honoré de Balzac,CHâTELLERAULT,86100,1.86 €,,1.95 €,1.90 €,
86,8 Avenue du Général de Gaulle,Saint-Savin,86310,2.04 €,,,2.10 €,
86,Rue de la Pierre du Theil,CIVRAY,86400,1.84 €,,1.93 €,1.90 €,
86,Aire des vieilles etables RN 10,VIVONNE,86370,1.94 €,,2.04 €,1.92 €,
86,ZAE DE BEAUBATON,MIGNALOUX-BEAUVOIR,86550,,,2.02 €,1.99 €,
86,6 Rue du Pont Saint-Cyprien,Poitiers,86000,1.97 €,0.84 €,,2.04 €,
86,route de lencloitre,Saint-Genest-d'Ambière,86140,1.97 €,,2.06 €,2.00 €,
86,10 rue de la Charletterie,BUXEROLLES,86180,1.80 €,,1.89 €,1.87 €,
86,Parc Commercial CareoLes Landes,Loudun,86200,1.83 €,,1.92 €,1.90 €,
86,152 Avenue Camille Pagé,Châtellerault,86100,1.95 €,,2.06 €,2.01 €,
86,FAUBOURG SAINT LAZARE,LOUDUN,86200,1.83 €,0.84 €,1.92 €,1.89 €,
86,38 rue de Parigny,Jaunay-Marigny,86130,1.90 €,0.85 €,1.99 €,1.94 €,
86,AUTOROUTE A10,Antran,86100,2.14 €,1.00 €,2.24 €,2.16 €,
86,Rue du Paradis,CHâTELLERAULT,86100,1.97 €,,2.07 €,1.97 €,
86,Avenue Jean Moulin,CHâTELLERAULT,86100,1.87 €,,1.97 €,1.95 €,
86,12 AVENUE DE L'EUROPE,Saint-Germain,86310,,,,2.02 €,
86,RN 151 - La Carte,Jardres,86800,1.88 €,,,1.95 €,
