Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE
26,ZA Route de Cléon d'Andran,Puy-Saint-Martin,26450,2.00 €,,2.02 €,1.99 €
26,A 49 - AIRE DE ROYANS VERCORS,LA BAUME D'HOSTUN,26730,,,,
26,AUTOROUTE A7 AIRE DE SAULCE EST,SAULCE SUR RHONE,26270,2.02 €,,2.14 €,2.09 €
26,PLACE DU MARCHE AUX FRUITS,Tain-l'Hermitage,26600,,,,2.01 €
26,Route de Grenoble,VALENCE,26000,1.94 €,,2.08 €,1.98 €
26,2745 Route Nationale 7,Livron-sur-Drôme,26250,1.86 €,,2.00 €,1.95 €
26,BD FRANKLIN ROOSEVELT,VALENCE,26000,1.84 €,0.86 €,1.95 €,1.91 €
26,RN 7,SAINT-VALLIER,26240,,,2.09 €,2.02 €
26,ZONE DES GOUVERNAUX,CHABEUIL,26120,1.84 €,0.86 €,1.95 €,1.91 €
26,396 Avenue Victor Hugo,Valence,26000,1.85 €,,1.95 €,1.91 €
26,295 Avenue de Chabeuil,Valence,26000,1.85 €,,1.99 €,1.92 €
26,RTE DE MARSEILLE,Montélimar,26200,1.85 €,,1.99 €,1.92 €
26,22 avenue de Québec,Saint-Vallier,26240,,,,
26,RN 7 - LES PEYRAUDS,Donzère,26290,1.84 €,,1.95 €,1.92 €
26,ROUTE NATIONALE 532,Alixan,26300,1.85 €,0.91 €,2.03 €,1.91 €
26,19 AVENUE ADRIEN FAYOLLE,CREST,26400,1.90 €,,2.00 €,2.00 €
26,BLD DES ALPES DE PROVENCE,Bourg-de-Péage,26300,1.92 €,,2.03 €,2.01 €
26,60 BD. DU 6 JUIN 1944,CREST,26400,1.91 €,,2.02 €,2.01 €
26,Autoroute A49 - Aire Royans VercorsSens Valence - Grenoble,LA BAUME D'HOSTUN,26730,1.95 €,,2.06 €,2.03 €
26,Autoroute A49 - Aire Porte de la DromeSens Grenoble - Valence,LA BAUME D'HOSTUN,26730,1.95 €,,2.06 €,2.03 €
26,RN 7,Châteauneuf-du-Rhône,26780,1.85 €,0.87 €,1.96 €,1.92 €
26,408 route de Nyons,TULETTE,26790,,,,
26,15 AVE JEAN JAURES,Portes-lès-valence,26800,1.94 €,,2.04 €,1.96 €
26,AUTOROUTE A7 - AIRE PORTE LES VALENCE EST,Portes-lès-Valence,26800,1.87 €,0.88 €,1.98 €,1.96 €
26,22 AVENUE DE QUEBEC,Saint-Vallier,26240,1.93 €,,2.04 €,1.95 €
26,LES BUIS,Anneyron,26140,,,2.00 €,1.95 €
26,Place du 8 Mai 1945,PORTES-LèS-VALENCE,26800,1.82 €,,1.97 €,1.90 €
26,Aire de Saint Rambert d'Albon,Saint-Rambert-d'Albon,26140,1.87 €,,1.98 €,1.96 €
26,Rond-Point de l'Europe,Saint-Paul-Trois-Châteaux,26130,1.92 €,0.88 €,,1.93 €
26,Les Chabanneries,Bourg-lès-Valence,26500,1.91 €,,2.03 €,1.93 €
26,2 montée du beffroi,grane,26400,1.97 €,0.85 €,2.05 €,1.99 €
26,280 avenue Jean Moulin RN7,DONZERE,26290,1.83 €,0.80 €,,1.93 €
26,avenue de provence,VALENCE,26000,1.94 €,,2.08 €,1.98 €
26,Route de la résistance Conches et Chamarges,Die,26150,1.90 €,0.85 €,2.02 €,1.97 €
26,RN7,Pont-de-l'Isère,26600,1.84 €,0.86 €,1.96 €,1.90 €
26,AVENUE DU DAUPHINE,Saulce-sur-Rhône,26270,1.83 €,0.83 €,,1.88 €
26,QUARTIER LES ESCOFFERS,PEYRINS,26380,,,2.09 €,2.01 €
26,4030 Les Fauries - RN 532,Eymeux,26730,1.94 €,,2.05 €,2.03 €
26,25 RUE PAUL LOUBET,MONTELIMAR,26200,1.89 €,0.85 €,1.95 €,1.98 €
26,1  Av Dauphiné-Provence,ALIXAN,26300,,,,2.16 €
26,Route de Valence,Beaumont-lès-Valence,26760,1.83 €,0.81 €,,1.94 €
26,Route de Saint-Thomas,Saint-Laurent-en-Royans,26190,,,2.12 €,2.04 €
26,AUTOROUTE A7 - AIRE DU PONT DE L'ISÈRE,Pont-de-l'Isère,26600,1.87 €,0.88 €,1.98 €,1.96 €
26,20 Avenue du Président Roosevelt,Tain-l'Hermitage,26600,,,2.03 €,2.01 €
26,20 ROUTE DE MONTELIMAR,Montboucher-sur-Jabron,26740,2.09 €,,2.18 €,2.06 €
26,ZA LA TULANDIERE 26 route de la Maison Blanche,Saint-Rambert-d'Albon,26140,1.75 €,0.84 €,1.87 €,1.90 €
26,RN7 ZONE DU MEYROL,MONTELIMAR,26200,,,2.10 €,2.04 €
26,56 AV DU MAQUIS,Romans-sur-Isère,26100,1.98 €,1.00 €,2.07 €,2.00 €
26,900 ROUTE DE MONTELIMAR,GRIGNAN,26230,1.85 €,0.85 €,1.99 €,1.96 €
26,160 ROUTE D ALEYRAC,La Bégude-de-Mazenc,26160,,,2.08 €,2.00 €
