Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
40,STATION TOTAL,SAUGNAC-ET-CAMBRAN,40180,1.92 €,,2.03 €,1.99 €,4368334.7419,-99557.445703
40,47 rue Roger Salengro,MORCENX,40110,1.98 €,,2.10 €,1.98 €,4403100,-91100
40,rue des morilles,LINXE,40260,1.78 €,,1.86 €,1.85 €,4392800,-125500
40,RD38 ZAC DE SEGUES,Ygos-Saint-Saturnin,40110,,,2.06 €,2.00 €,4397585.83,-73720.15
40,FOCH,Dax,40100,,,,,4370959,-105552
40,Av de cramat,Soustons,40140,,,,,4374715.177,-132168.31
40,Rue Robert Dubaa,MAGESCQ,40140,,,,2.09 €,4377927,-121607
40,394 AVENUE GEORGES CLEMENCEAU,Mont-de-Marsan,40000,1.80 €,0.88 €,1.91 €,1.88 €,4388554,-49499
40,500 Rue de Gouveia,Labouheyre,40210,1.95 €,0.85 €,,1.93 €,4421000,-92500
40,73 rue Frédéric Bastiat,Rion-des-Landes,40370,2.11 €,2.11 €,2.25 €,1.99 €,4393191,-92230
40,AUTOROUTE A63 COTE EST,Labenne,40530,1.94 €,,2.05 €,2.04 €,4358600,-142000
40,AUTOROUTE A63 COTE OUEST,Labenne,40530,2.14 €,,2.25 €,2.16 €,4358700,-142000
40,Route de Mont-de-Marsan,SABRES,40630,,,,2.33 €,4414733.98051,-73781.9670456
40,200 boulevard oscar niemeyer,Saint-Pierre-du-Mont,40280,1.81 €,0.80 €,,1.88 €,4388298.1,-51997.589
40,1234 Avenue du Vignau,Mont-de-Marsan,40000,1.81 €,0.80 €,,1.88 €,4387771,-46152
40,Avenue de Bordeaux,Aire-sur-l'Adour,40800,1.93 €,,,1.97 €,4370739.37,-25655.32
40,A63 Aire de l'Ocean Ouest,Lesperon,40260,2.09 €,,2.19 €,2.11 €,4393687.501,-109255.98
40,169 RUE DE L'AIGUILLE,Sanguinet,40460,1.86 €,0.88 €,,1.96 €,4449732.42,-105584.37
40,160  route d'Estibeaux,Pouillon,40350,1.86 €,0.88 €,2.05 €,1.91 €,4360651,-99139
40,2 Avenue de Mont de Marsan,Grenade-sur-l'Adour,40270,,,2.03 €,1.96 €,4377400,-43200
40,Centre Commercial Intermarché,HAGETMAU,40700,1.90 €,0.92 €,2.00 €,1.93 €,4363700,-61400
40,AUTOROUTE A63,Saugnacq-et-Muret,40410,2.19 €,,2.29 €,2.16 €,4436000,-85100
40,Route des Lacs,LIT-ET-MIXE,40170,1.85 €,,1.99 €,1.95 €,4402500,-125900
40,384 avenue des Martyrs de la Résistance,MONT-DE-MARSAN,40000,1.84 €,,1.96 €,1.91 €,4388700,-51300
40,RUE JEAN DE NASSE,CASTETS,40260,1.81 €,,,1.88 €,4387700,-114300
40,745 Avenue de Saint-Sever,SAINT-PIERRE-DU-MONT,40280,1.89 €,,2.00 €,1.98 €,4387000,-51000
40,ROUTE DE ST SEVER,HAGETMAU,40700,,,,1.99 €,4365853.88198,-59109.674408
40,19 Boulevard Yves Mainguy,MONT-DE-MARSAN,40000,,,2.25 €,2.04 €,4388300,-48200
40,77 route de Bayonne,Peyrehorade,40300,1.90 €,,2.01 €,1.99 €,4354700,-111300
40,CHEMIN DU TUCAT,BEGAAR,40400,1.83 €,,2.00 €,1.89 €,4382296.86,-84894.289
40,520 avenue Jean Jaurès,Montfort-en-Chalosse,40380,,,2.01 €,1.96 €,4371040,-83440
40,642  avenue Robert Labeyrie,Pontonx-sur-l'Adour,40465,1.83 €,0.85 €,1.95 €,1.89 €,4378529,-93105
40,40 BD DES SPORTS,DAX,40100,1.81 €,,1.93 €,1.89 €,4371000,-104100
