Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
68,184 ROUTE DE BELFORT,MULHOUSE,68200,1.90 €,,2.00 €,1.96 €,4773970.5248692,730049.97037019
68,42  ROUTE D'INGERSHEIM,COLMAR,68000,1.90 €,,2.00 €,1.97 €,4808420.0683889,734578.32050324
68,8  rue du general de gaulle,MASEVAUX,68290,1.75 €,,,1.93 €,4777400,699900
68,19 route de Bussang,Fellering,68470,1.90 €,,2.01 €,2.00 €,4788800,721800
68,ANGLE AV CLEMENCEAU 34 RTE DE BALE,COLMAR,68000,1.90 €,0.90 €,2.01 €,2.02 €,4806900,736000
68,18 Rue Martin Hilti,Munster,68140,1.83 €,0.83 €,1.92 €,1.94 €,4804300,716000
68,53 Rue du Rhin,Bitschwiller-lès-Thann,68620,,,2.00 €,1.99 €,4782000,708300
68,73 Grand'Rue,Horbourg-Wihr,68180,1.82 €,0.94 €,1.91 €,1.91 €,4808000,739800
68,Boulevard Stoessel,MULHOUSE,68200,,,,,4774185,732290
68,24 Boulevard des Nations,MULHOUSE,68200,,,,,4773658,730197
68,37 Rue de Kingersheim,Wittenheim,68270,1.91 €,0.83 €,2.08 €,1.96 €,4780600,733700
68,AUTOROUTE A35 - AIRE DE BATTENHEIM,BATTENHEIM,68390,1.85 €,0.87 €,1.96 €,1.95 €,4783691.31343,739540.61823
68,12 Rue Herzog,LOGELBACH-WINTZENHEIM,68124,1.90 €,,1.80 €,1.89 €,4808600,731400
68,6 Route de Sélestat,Guémar,68970,,1.11 €,1.94 €,1.89 €,4818717,739352
68,1 Rue de Seville,SAINT-LOUIS,68300,1.74 €,,,1.89 €,4760519.4988,754311.190391
68,63 Rue du Général de Gaulle,Habsheim,68440,1.87 €,,1.98 €,2.04 €,4773100,741700
68,11 Route de Wintzenheim,COLMAR,68000,1.89 €,0.88 €,2.00 €,2.00 €,4806900,733000
68,111 Route de Neuf-Brisach,COLMAR,68000,1.81 €,0.91 €,,1.91 €,4808000,737500
68,9 Rue Charles de Gaulle,Orbey,68370,1.88 €,,1.98 €,1.94 €,4812800,716700
68,14 RUE D'ALTKIRCH,WITTERSDORF,68130,1.89 €,,2.00 €,2.00 €,4762337.55393,727143.926147
68,45 Rue d'illzach,KINGERSHEIM,68260,1.86 €,,1.94 €,1.94 €,4779100,734200
